Step,Episode Rewards
10000,-103.05904388427734
20000,-101.17668914794922
30000,-114.60735321044922
40000,-109.49462127685547
50000,-118.73573303222656
60000,-110.95490264892578
70000,-98.22985076904297
80000,-95.63212585449219
90000,-93.2904052734375
100000,-86.41668701171875
110000,-90.53401947021484
120000,-86.99213409423828
130000,-83.87747192382812
140000,-79.92938995361328
150000,-77.42066955566406
160000,-78.33771514892578
170000,-79.7292709350586
180000,-78.60584259033203
190000,-75.89188385009766
200000,-72.88540649414062
210000,-74.36875915527344
220000,-72.87557983398438
230000,-72.44207000732422
240000,-70.53189086914062
250000,-67.83431243896484
260000,-71.8075180053711
270000,-70.31144714355469
280000,-69.53653717041016
290000,-67.07032775878906
300000,-68.37393188476562
310000,-69.13444519042969
320000,-65.27238464355469
330000,-66.84237670898438
340000,-66.15827178955078
350000,-64.3670883178711
360000,-64.3982925415039
370000,-63.95906448364258
380000,-60.21169662475586
390000,-62.32749938964844
400000,-63.181671142578125
410000,-63.01097106933594
420000,-62.020992279052734
430000,-60.604736328125
440000,-59.225608825683594
450000,-57.869384765625
460000,-57.754127502441406
470000,-57.44522476196289
480000,-55.780723571777344
490000,-56.032623291015625
500000,-54.15022277832031
510000,-52.4291877746582
520000,-52.03020477294922
530000,-53.375675201416016
540000,-53.47226333618164
550000,-52.84837341308594
560000,-51.96358871459961
570000,-54.12765121459961
580000,-54.541526794433594
590000,-51.13921356201172
600000,-53.06247329711914
610000,-52.94123077392578
620000,-52.52400207519531
630000,-50.87124252319336
640000,-51.44771957397461
650000,-52.705078125
660000,-51.90761184692383
670000,-54.3184928894043
680000,-53.719993591308594
690000,-51.12813186645508
700000,-50.6268310546875
710000,-50.216041564941406
720000,-51.34741973876953
730000,-50.72414779663086
740000,-50.48208236694336
750000,-50.478675842285156
760000,-49.26394271850586
770000,-50.62789535522461
780000,-51.250247955322266
790000,-48.27669143676758
800000,-48.97824478149414
810000,-50.53273391723633
820000,-51.259681701660156
830000,-50.463706970214844
840000,-53.14259338378906
850000,-51.53984451293945
860000,-51.41950988769531
870000,-53.40574645996094
880000,-52.608245849609375
890000,-51.911102294921875
900000,-55.44962692260742
910000,-55.4283332824707
920000,-54.958553314208984
930000,-56.14259338378906
940000,-52.564388275146484
950000,-53.43647766113281
960000,-53.66334915161133
970000,-54.56464385986328
980000,-55.45893096923828
990000,-56.00920104980469
1000000,-55.03013229370117
1010000,-54.78632354736328
1020000,-53.80025100708008
1030000,-53.16502380371094
1040000,-52.67835998535156
1050000,-52.0762939453125
1060000,-53.46143341064453
1070000,-51.35396194458008
1080000,-50.646507263183594
1090000,-50.69588088989258
1100000,-49.94270706176758
1110000,-50.41287612915039
1120000,-50.92601013183594
1130000,-49.85737228393555
1140000,-50.01313781738281
1150000,-46.916603088378906
1160000,-48.44097900390625
1170000,-47.847537994384766
1180000,-50.254310607910156
1190000,-51.855281829833984
1200000,-51.727909088134766
1210000,-51.07365417480469
1220000,-50.333770751953125
1230000,-50.88283920288086
1240000,-53.594242095947266
1250000,-50.906497955322266
1260000,-50.54624938964844
1270000,-49.72665023803711
1280000,-49.94839859008789
1290000,-49.66306686401367
1300000,-50.973995208740234
1310000,-52.06626510620117
1320000,-52.47499084472656
1330000,-48.18643569946289
1340000,-48.93152618408203
1350000,-49.422882080078125
1360000,-49.752716064453125
1370000,-51.46293258666992
1380000,-50.29740524291992
1390000,-53.5921516418457
1400000,-52.79091262817383
1410000,-52.217872619628906
1420000,-52.27052688598633
1430000,-50.19873046875
1440000,-50.64911651611328
1450000,-49.560604095458984
1460000,-49.21316909790039
1470000,-51.03927993774414
1480000,-49.91472244262695
1490000,-50.825843811035156
1500000,-50.37673568725586
1510000,-48.258514404296875
1520000,-49.83114242553711
1530000,-49.13054656982422
1540000,-48.98438262939453
1550000,-49.50377655029297
1560000,-49.265140533447266
1570000,-48.96580505371094
1580000,-49.065582275390625
1590000,-48.847721099853516
1600000,-48.76108932495117
1610000,-48.55644989013672
1620000,-50.25423049926758
1630000,-48.05423355102539
1640000,-50.438045501708984
1650000,-47.62128829956055
1660000,-48.869991302490234
1670000,-50.01251983642578
1680000,-50.51984786987305
1690000,-49.61571502685547
1700000,-50.42110061645508
1710000,-53.86549758911133
1720000,-54.06652069091797
1730000,-54.16366958618164
1740000,-51.787784576416016
1750000,-53.24055099487305
1760000,-55.56861877441406
1770000,-57.622798919677734
1780000,-56.13690185546875
1790000,-55.299251556396484
1800000,-55.0367317199707
1810000,-54.802127838134766
1820000,-53.71800994873047
1830000,-52.1085090637207
1840000,-52.162689208984375
1850000,-52.10475158691406
1860000,-50.303218841552734
1870000,-49.32999038696289
1880000,-50.03240203857422
1890000,-52.55169677734375
1900000,-50.495426177978516
1910000,-52.48427963256836
1920000,-51.01272964477539
1930000,-52.14500045776367
1940000,-52.986690521240234
1950000,-52.26744842529297
1960000,-51.70953369140625
1970000,-51.7347526550293
1980000,-53.414154052734375
1990000,-55.13928985595703
2000000,-54.146732330322266
2010000,-54.99354553222656
2020000,-53.776084899902344
2030000,-52.76472473144531
2040000,-54.1917610168457
2050000,-54.496028900146484
2060000,-52.55776596069336
2070000,-52.17570877075195
2080000,-52.41999816894531
2090000,-53.447044372558594
2100000,-49.98966598510742
2110000,-50.749568939208984
2120000,-50.550994873046875
2130000,-51.60030746459961
2140000,-52.778594970703125
2150000,-51.27146530151367
2160000,-49.86054229736328
2170000,-50.25627517700195
2180000,-51.16776657104492
2190000,-50.88685989379883
2200000,-50.27806854248047
2210000,-50.47322463989258
2220000,-50.932586669921875
2230000,-50.00498580932617
2240000,-51.4635124206543
2250000,-52.711334228515625
2260000,-52.976009368896484
2270000,-51.14545822143555
2280000,-51.820213317871094
2290000,-51.09926986694336
2300000,-50.67317199707031
2310000,-50.232826232910156
2320000,-50.95303726196289
2330000,-51.54935836791992
2340000,-50.381263732910156
2350000,-49.54863357543945
2360000,-50.18407440185547
2370000,-49.16693115234375
2380000,-50.775245666503906
2390000,-53.28270721435547
2400000,-50.57381057739258
2410000,-48.13315963745117
2420000,-50.29636001586914
2430000,-49.472713470458984
2440000,-50.612850189208984
2450000,-52.76043701171875
2460000,-50.78066635131836
2470000,-52.138816833496094
2480000,-53.607025146484375
2490000,-53.67148971557617
2500000,-52.08068084716797
2510000,-54.05326843261719
2520000,-52.29479217529297
2530000,-54.389068603515625
2540000,-54.30552673339844
2550000,-52.33858871459961
2560000,-53.94012451171875
2570000,-52.62166213989258
2580000,-53.631011962890625
2590000,-53.556976318359375
2600000,-50.47600555419922
2610000,-53.02647399902344
2620000,-54.864891052246094
2630000,-53.97636795043945
2640000,-56.01655578613281
2650000,-54.989200592041016
2660000,-54.00867462158203
2670000,-52.174503326416016
2680000,-52.27849197387695
2690000,-51.32238006591797
2700000,-50.544612884521484
2710000,-52.343421936035156
2720000,-52.202476501464844
2730000,-51.55416488647461
2740000,-52.94963455200195
2750000,-51.81962966918945
2760000,-52.66455841064453
2770000,-52.860618591308594
2780000,-50.79178237915039
2790000,-50.02507400512695
2800000,-48.508060455322266
2810000,-50.74862289428711
2820000,-48.90583419799805
2830000,-49.22935485839844
2840000,-49.9896125793457
2850000,-48.3312873840332
2860000,-47.972042083740234
2870000,-47.50704574584961
2880000,-47.27708435058594
2890000,-49.80367660522461
2900000,-50.566619873046875
2910000,-52.43901062011719
2920000,-53.96662139892578
2930000,-50.34672546386719
2940000,-49.604469299316406
2950000,-51.02885055541992
2960000,-51.55362319946289
2970000,-51.28349685668945
2980000,-52.5828742980957
2990000,-52.30356216430664
3000000,-51.337791442871094
3010000,-50.00431442260742
3020000,-49.3395881652832
3030000,-48.19477462768555
3040000,-48.76490783691406
3050000,-49.830116271972656
3060000,-48.42219543457031
3070000,-49.779563903808594
3080000,-50.497276306152344
3090000,-49.48403549194336
3100000,-50.33208465576172
3110000,-50.378238677978516
3120000,-50.03011703491211
3130000,-48.217403411865234
3140000,-49.51715087890625
3150000,-50.323326110839844
3160000,-50.148860931396484
3170000,-48.894718170166016
3180000,-48.86776351928711
3190000,-48.87229537963867
3200000,-49.20453643798828
3210000,-49.29473114013672
3220000,-47.358787536621094
3230000,-47.72101974487305
3240000,-49.48641586303711
3250000,-49.2379264831543
3260000,-50.276634216308594
3270000,-47.54475402832031
3280000,-50.94287109375
3290000,-49.863162994384766
3300000,-51.76321792602539
3310000,-48.81235885620117
3320000,-47.54555130004883
3330000,-48.291847229003906
3340000,-47.738101959228516
3350000,-49.06024169921875
3360000,-49.78241729736328
3370000,-48.00666046142578
3380000,-47.44921112060547
3390000,-46.95773696899414
3400000,-47.312721252441406
3410000,-47.29770278930664
3420000,-47.105812072753906
3430000,-51.0946044921875
3440000,-46.574981689453125
3450000,-50.10252380371094
3460000,-48.01160430908203
3470000,-47.93644332885742
3480000,-46.919044494628906
3490000,-46.83295440673828
3500000,-47.446998596191406
3510000,-46.9494514465332
3520000,-48.077728271484375
3530000,-46.82331466674805
3540000,-46.625892639160156
3550000,-47.04883575439453
3560000,-48.00078201293945
3570000,-45.71798324584961
3580000,-46.87672805786133
3590000,-47.73390197753906
3600000,-47.62078094482422
3610000,-46.07475280761719
3620000,-47.933570861816406
3630000,-45.784542083740234
3640000,-47.07345199584961
3650000,-47.71779251098633
3660000,-49.325626373291016
3670000,-48.733863830566406
3680000,-45.80916976928711
3690000,-45.0181884765625
3700000,-46.76509475708008
3710000,-46.31510543823242
3720000,-47.50790786743164
3730000,-45.509647369384766
3740000,-45.89899826049805
3750000,-46.07272720336914
3760000,-47.07292175292969
3770000,-47.091800689697266
3780000,-45.92093276977539
3790000,-45.80691146850586
3800000,-46.63286590576172
3810000,-47.925392150878906
3820000,-46.654327392578125
3830000,-46.59857940673828
3840000,-46.17347717285156
3850000,-46.96094512939453
3860000,-47.17876434326172
3870000,-46.57490158081055
3880000,-48.087005615234375
3890000,-47.99565887451172
3900000,-46.26740264892578
3910000,-46.470645904541016
3920000,-47.95140075683594
3930000,-46.25862503051758
3940000,-50.23712921142578
3950000,-47.81917190551758
3960000,-47.575828552246094
3970000,-45.85696029663086
3980000,-44.87681198120117
3990000,-45.62807846069336
4000000,-47.825645446777344
4010000,-47.98374938964844
4020000,-47.556827545166016
4030000,-45.458839416503906
4040000,-47.148494720458984
4050000,-46.8766975402832
4060000,-47.437400817871094
4070000,-50.083065032958984
4080000,-48.65947341918945
4090000,-45.58342742919922
4100000,-46.53510284423828
4110000,-49.41630172729492
4120000,-45.484657287597656
4130000,-49.790802001953125
4140000,-47.94407272338867
4150000,-47.62327194213867
4160000,-48.43281936645508
4170000,-47.09646224975586
4180000,-49.163536071777344
4190000,-49.87256622314453
4200000,-47.7967529296875
4210000,-48.97648239135742
4220000,-47.36432647705078
4230000,-49.76768493652344
4240000,-48.477054595947266
4250000,-49.39780807495117
4260000,-49.963050842285156
4270000,-48.02139663696289
4280000,-49.49698257446289
4290000,-49.947105407714844
4300000,-47.936649322509766
4310000,-48.86639404296875
4320000,-48.065738677978516
4330000,-48.94965362548828
4340000,-48.306941986083984
4350000,-48.13442611694336
4360000,-47.6710205078125
4370000,-47.14111328125
4380000,-49.904945373535156
4390000,-49.49534225463867
4400000,-49.962310791015625
4410000,-47.558860778808594
4420000,-46.893531799316406
4430000,-48.56438064575195
4440000,-48.08024215698242
4450000,-48.57952117919922
4460000,-47.599769592285156
4470000,-45.946998596191406
4480000,-47.37917709350586
4490000,-47.32500457763672
4500000,-47.629180908203125
4510000,-46.76225662231445
4520000,-47.08086395263672
4530000,-46.56342315673828
4540000,-48.34193420410156
4550000,-47.273990631103516
4560000,-48.39568328857422
4570000,-46.57760238647461
4580000,-46.80827713012695
4590000,-46.2762565612793
4600000,-46.947044372558594
4610000,-46.4608154296875
4620000,-48.16264343261719
4630000,-47.14436721801758
4640000,-46.698246002197266
4650000,-46.75353240966797
4660000,-47.3372917175293
4670000,-47.43220901489258
4680000,-45.06395721435547
4690000,-46.261356353759766
4700000,-44.58855056762695
4710000,-46.79740905761719
