Step,Episode Rewards
10000,-116.64180755615234
20000,-111.92822265625
30000,-117.40630340576172
40000,-116.07012939453125
50000,-116.5938491821289
60000,-117.51301574707031
70000,-113.9985580444336
80000,-121.2026138305664
90000,-121.75092315673828
100000,-120.27963256835938
110000,-116.1265869140625
120000,-112.40103149414062
130000,-117.75350952148438
140000,-122.65026092529297
150000,-120.25859069824219
160000,-116.58728790283203
170000,-119.08626556396484
180000,-115.99356842041016
190000,-112.10977172851562
200000,-114.41969299316406
210000,-118.63481140136719
220000,-119.05569458007812
230000,-119.24446105957031
240000,-112.88353729248047
250000,-117.63362121582031
260000,-114.56183624267578
270000,-117.91552734375
280000,-116.29823303222656
290000,-118.95491027832031
300000,-117.42274475097656
310000,-119.42418670654297
320000,-117.63067626953125
330000,-113.5425033569336
340000,-115.32316589355469
350000,-110.45811462402344
360000,-116.13331604003906
370000,-112.68962097167969
380000,-117.19416809082031
390000,-113.29103088378906
400000,-112.49734497070312
410000,-107.92623901367188
420000,-109.6982192993164
430000,-115.99473571777344
440000,-103.70082092285156
450000,-113.07650756835938
460000,-113.4580307006836
470000,-113.02806091308594
480000,-106.23625183105469
490000,-107.40703582763672
500000,-103.75565338134766
510000,-116.78447723388672
520000,-107.82283782958984
530000,-112.02008056640625
540000,-111.61224365234375
550000,-112.55216217041016
560000,-115.35215759277344
570000,-103.07515716552734
580000,-109.64464569091797
590000,-109.54925537109375
600000,-109.31566619873047
610000,-111.76770782470703
620000,-102.18580627441406
630000,-103.04841613769531
640000,-108.3584976196289
650000,-109.59613800048828
660000,-109.58953857421875
670000,-103.39400482177734
680000,-104.81967163085938
690000,-103.76832580566406
700000,-107.01335144042969
710000,-102.44556427001953
720000,-105.68963623046875
730000,-104.6785888671875
740000,-98.61505889892578
750000,-101.96624755859375
760000,-97.3285903930664
770000,-97.19740295410156
780000,-106.6896743774414
790000,-101.23719787597656
800000,-100.44794464111328
810000,-107.9029541015625
820000,-95.01480102539062
830000,-103.1731948852539
840000,-99.04768371582031
850000,-103.12789154052734
860000,-104.80211639404297
870000,-101.8000259399414
880000,-94.67163848876953
890000,-97.26139068603516
900000,-97.7538070678711
910000,-96.94091796875
920000,-94.5889663696289
930000,-92.07022094726562
940000,-98.6923599243164
950000,-99.0111312866211
960000,-99.86736297607422
970000,-98.13580322265625
980000,-94.85345458984375
990000,-98.35043334960938
1000000,-100.2594223022461
1010000,-95.65325927734375
1020000,-94.0784912109375
1030000,-98.51657104492188
1040000,-97.11397552490234
1050000,-98.3733901977539
1060000,-92.72261810302734
1070000,-93.00875854492188
