Step,Episode Rewards
10000,-120.28306579589844
20000,-121.74193572998047
30000,-119.4339599609375
40000,-114.59424591064453
50000,-112.91818237304688
60000,-116.50658416748047
70000,-106.1542739868164
80000,-106.7077407836914
90000,-111.8929672241211
100000,-109.28357696533203
110000,-109.84186553955078
120000,-106.76443481445312
130000,-115.34284210205078
140000,-110.41127014160156
150000,-109.68540954589844
160000,-102.8531265258789
170000,-108.83122253417969
180000,-110.40196228027344
190000,-104.06082916259766
200000,-101.90399932861328
210000,-102.75038146972656
220000,-111.8734130859375
230000,-110.57363891601562
240000,-104.19647216796875
250000,-103.85832977294922
260000,-103.2049789428711
270000,-96.96510314941406
280000,-98.66136169433594
290000,-97.87580871582031
300000,-94.62218475341797
310000,-99.98184967041016
320000,-95.31396484375
330000,-94.85185241699219
340000,-91.7588119506836
350000,-92.14836883544922
360000,-95.3214111328125
370000,-91.52738952636719
380000,-91.58993530273438
390000,-91.00788116455078
400000,-96.12930297851562
410000,-92.31460571289062
420000,-93.5887451171875
430000,-94.06344604492188
440000,-94.29154968261719
450000,-93.32931518554688
460000,-97.07698059082031
470000,-95.1665267944336
480000,-95.96170043945312
490000,-95.59099578857422
500000,-97.30382537841797
510000,-97.74069213867188
520000,-95.83920288085938
530000,-92.67070770263672
540000,-92.22866821289062
550000,-99.26850891113281
560000,-95.95136260986328
570000,-96.39955139160156
580000,-96.20968627929688
590000,-95.09107208251953
600000,-94.99834442138672
610000,-98.64910888671875
620000,-94.32321166992188
630000,-94.97946166992188
640000,-95.78811645507812
650000,-98.55572509765625
660000,-95.40250396728516
670000,-94.3559799194336
680000,-96.70993041992188
690000,-98.62638854980469
700000,-93.79459381103516
710000,-93.07731628417969
720000,-89.84912109375
730000,-91.16692352294922
740000,-90.77316284179688
750000,-86.07218170166016
760000,-89.02032470703125
770000,-88.52218627929688
780000,-88.18965148925781
790000,-90.37629699707031
800000,-90.51641845703125
810000,-87.91558074951172
820000,-91.58417510986328
830000,-86.50335693359375
840000,-91.28565979003906
850000,-89.00447082519531
860000,-89.12316131591797
870000,-86.33379364013672
880000,-89.09309387207031
890000,-87.07760620117188
900000,-87.49530029296875
910000,-88.44255065917969
920000,-89.59886932373047
930000,-91.224365234375
940000,-87.89254760742188
950000,-91.3010025024414
960000,-89.56990051269531
970000,-89.48188018798828
980000,-88.67278289794922
990000,-89.78285217285156
1000000,-88.7187271118164
1010000,-87.07762145996094
1020000,-86.99683380126953
1030000,-86.64000701904297
1040000,-86.05631256103516
1050000,-87.77485656738281
1060000,-87.47377014160156
1070000,-84.89344787597656
1080000,-88.45003509521484
1090000,-85.99210357666016
1100000,-90.61670684814453
1110000,-88.76427459716797
1120000,-89.09811401367188
1130000,-87.57682037353516
1140000,-88.54039764404297
1150000,-87.3103256225586
1160000,-86.940673828125
1170000,-87.35228729248047
1180000,-85.86805725097656
1190000,-87.92668151855469
1200000,-87.99224090576172
1210000,-87.45542907714844
1220000,-87.94766998291016
1230000,-86.05269622802734
1240000,-87.67106628417969
1250000,-90.91448974609375
1260000,-87.46052551269531
1270000,-89.37368774414062
1280000,-86.27933502197266
1290000,-84.1175537109375
1300000,-86.04808044433594
1310000,-84.99214935302734
1320000,-86.6249008178711
1330000,-88.00341796875
1340000,-85.42313385009766
1350000,-84.35436248779297
1360000,-86.22506713867188
1370000,-84.13056945800781
1380000,-84.02687072753906
1390000,-84.9001235961914
1400000,-87.3803939819336
1410000,-84.56326293945312
1420000,-83.77824401855469
1430000,-83.58561706542969
1440000,-82.78180694580078
1450000,-84.87646484375
1460000,-86.56243896484375
1470000,-83.0650863647461
1480000,-88.29967498779297
1490000,-86.5620346069336
1500000,-81.89285278320312
1510000,-87.04798889160156
1520000,-86.13971710205078
1530000,-86.17762756347656
1540000,-83.77169799804688
1550000,-88.23197174072266
1560000,-83.70661926269531
1570000,-85.19566345214844
1580000,-88.26123809814453
1590000,-85.92475891113281
1600000,-86.61483764648438
1610000,-87.4507827758789
1620000,-87.5292739868164
1630000,-85.49642944335938
1640000,-89.716552734375
1650000,-81.90060424804688
1660000,-82.96375274658203
1670000,-87.89273834228516
1680000,-86.18464660644531
1690000,-82.58261108398438
1700000,-82.95790100097656
1710000,-88.7112045288086
1720000,-84.68199157714844
1730000,-84.87690734863281
1740000,-82.3705062866211
1750000,-82.96753692626953
1760000,-82.52885437011719
1770000,-83.29825592041016
1780000,-85.09080505371094
1790000,-85.82439422607422
1800000,-81.04956817626953
1810000,-87.11039733886719
1820000,-83.47425842285156
1830000,-86.39717864990234
1840000,-83.12357330322266
1850000,-84.0489730834961
1860000,-84.13562774658203
1870000,-86.058349609375
1880000,-83.9574203491211
1890000,-84.43827819824219
1900000,-81.35292053222656
1910000,-83.59282684326172
1920000,-82.24604797363281
1930000,-80.84319305419922
1940000,-82.03645324707031
1950000,-84.0946273803711
1960000,-81.37561798095703
1970000,-84.33260345458984
1980000,-82.47705078125
1990000,-85.40232849121094
2000000,-82.99491119384766
2010000,-86.45726776123047
2020000,-82.25364685058594
2030000,-82.18840789794922
2040000,-82.53306579589844
2050000,-81.29398345947266
2060000,-85.7992172241211
2070000,-80.83448028564453
2080000,-80.3454818725586
2090000,-80.96258544921875
2100000,-84.27693176269531
2110000,-82.7978515625
2120000,-79.65972137451172
2130000,-79.90206146240234
2140000,-82.31312561035156
2150000,-82.6747055053711
2160000,-80.26354217529297
2170000,-81.19618225097656
2180000,-79.80062866210938
2190000,-84.57582092285156
2200000,-80.91255187988281
2210000,-79.94054412841797
2220000,-80.66627502441406
2230000,-81.39319610595703
2240000,-82.6218032836914
2250000,-78.59325408935547
2260000,-81.13336181640625
2270000,-82.0609130859375
2280000,-82.53079986572266
2290000,-80.93914031982422
2300000,-82.34005737304688
2310000,-79.41834259033203
2320000,-80.4621810913086
2330000,-79.68902587890625
2340000,-77.44390106201172
2350000,-85.61421966552734
2360000,-80.01464080810547
2370000,-80.10177612304688
2380000,-80.89599609375
2390000,-80.02796936035156
2400000,-82.43858337402344
2410000,-82.01168823242188
2420000,-78.05409240722656
2430000,-81.1438217163086
2440000,-78.38485717773438
2450000,-78.2798080444336
2460000,-79.93424224853516
2470000,-80.57019805908203
2480000,-79.5879135131836
2490000,-78.53230285644531
2500000,-76.67534637451172
2510000,-79.47425842285156
2520000,-78.0050277709961
2530000,-81.09149169921875
2540000,-78.60450744628906
2550000,-79.72877502441406
2560000,-76.78721618652344
2570000,-76.03917694091797
2580000,-79.86090087890625
2590000,-80.80183410644531
2600000,-76.72203826904297
2610000,-80.38165283203125
2620000,-77.82362365722656
2630000,-80.94674682617188
2640000,-80.2024917602539
2650000,-80.67047119140625
2660000,-79.38059997558594
2670000,-79.4031982421875
2680000,-80.94222259521484
2690000,-78.27090454101562
2700000,-79.61956787109375
2710000,-80.14043426513672
2720000,-80.21250915527344
2730000,-82.68885040283203
2740000,-79.75237274169922
2750000,-80.52598571777344
2760000,-78.82612609863281
2770000,-78.25579833984375
2780000,-77.13135528564453
2790000,-78.20034790039062
2800000,-80.33706665039062
2810000,-75.1914291381836
2820000,-76.65062713623047
2830000,-77.6335678100586
2840000,-79.15872955322266
2850000,-80.45084381103516
2860000,-81.40760040283203
2870000,-79.96420288085938
2880000,-81.00568389892578
2890000,-78.25177764892578
2900000,-79.75076293945312
2910000,-80.15506744384766
2920000,-79.41870880126953
2930000,-78.53864288330078
2940000,-75.83597564697266
2950000,-79.0649185180664
2960000,-78.97470092773438
2970000,-78.54704284667969
2980000,-78.17932891845703
2990000,-76.50595092773438
3000000,-78.15147399902344
3010000,-78.88516235351562
3020000,-78.06879425048828
3030000,-76.32115936279297
3040000,-76.9192886352539
3050000,-76.40349578857422
3060000,-77.85337829589844
3070000,-78.25846099853516
3080000,-76.99785614013672
3090000,-78.49620819091797
3100000,-79.82696533203125
3110000,-79.40699005126953
3120000,-78.85468292236328
3130000,-79.09996795654297
3140000,-81.2213363647461
3150000,-79.24604034423828
3160000,-77.95723724365234
3170000,-79.93096923828125
3180000,-79.559326171875
3190000,-78.7650146484375
3200000,-79.12118530273438
3210000,-79.6009292602539
3220000,-79.62763214111328
3230000,-78.06753540039062
3240000,-79.66252136230469
3250000,-82.664794921875
3260000,-80.68133544921875
3270000,-79.79669189453125
3280000,-78.26802062988281
3290000,-79.25587463378906
3300000,-81.70491790771484
3310000,-79.52117919921875
3320000,-77.66822814941406
3330000,-79.1137466430664
3340000,-76.5096664428711
3350000,-78.00349426269531
3360000,-80.1657943725586
3370000,-77.48332977294922
3380000,-77.92789459228516
3390000,-77.45465087890625
3400000,-73.99991607666016
3410000,-75.06696319580078
3420000,-78.61622619628906
3430000,-75.13066101074219
3440000,-76.46802520751953
3450000,-75.83882141113281
3460000,-74.44202423095703
3470000,-74.37330627441406
3480000,-73.11875915527344
3490000,-74.34375762939453
3500000,-71.56134796142578
3510000,-71.56092071533203
3520000,-71.10505676269531
3530000,-69.75603485107422
3540000,-72.75955200195312
3550000,-72.18167114257812
3560000,-71.25749206542969
3570000,-68.44915771484375
3580000,-70.46053314208984
3590000,-73.0042953491211
3600000,-73.0870590209961
3610000,-71.1594467163086
3620000,-71.38618469238281
3630000,-72.9371566772461
3640000,-69.43253326416016
3650000,-70.5972900390625
3660000,-72.82036590576172
3670000,-69.97029113769531
3680000,-72.12482452392578
3690000,-70.43081665039062
3700000,-72.2166976928711
3710000,-72.37718200683594
3720000,-71.36568450927734
3730000,-72.54304504394531
3740000,-73.82120513916016
3750000,-71.69920349121094
3760000,-70.82414245605469
3770000,-70.9841537475586
3780000,-70.83016204833984
3790000,-69.94538116455078
3800000,-73.54249572753906
3810000,-69.37653350830078
3820000,-70.64836120605469
3830000,-72.18961334228516
3840000,-70.1167221069336
3850000,-72.03705596923828
3860000,-70.4596939086914
3870000,-70.4490966796875
3880000,-72.57805633544922
3890000,-71.43474578857422
3900000,-66.92084503173828
3910000,-73.25299072265625
3920000,-69.72074127197266
3930000,-69.51604461669922
3940000,-71.58074188232422
