Step,Episode Rewards
10000,-118.20217895507812
20000,-120.12767791748047
30000,-119.52361297607422
40000,-112.22561645507812
50000,-117.12952423095703
60000,-111.46426391601562
70000,-123.06208801269531
80000,-117.03626251220703
90000,-114.9202651977539
100000,-115.65895080566406
110000,-119.4796371459961
120000,-114.57295989990234
130000,-116.42089080810547
140000,-123.44881439208984
150000,-113.77188873291016
160000,-120.98847198486328
170000,-119.40328216552734
180000,-120.4778823852539
190000,-115.49234771728516
200000,-120.87260437011719
210000,-120.6604995727539
220000,-124.03665924072266
230000,-118.69505310058594
240000,-115.14534759521484
250000,-116.13409423828125
260000,-111.62696075439453
270000,-117.38883209228516
280000,-119.3489761352539
290000,-115.49774169921875
300000,-117.38733673095703
310000,-120.0145263671875
320000,-125.62979125976562
330000,-115.85810089111328
340000,-124.80192565917969
350000,-120.76091766357422
360000,-116.83822631835938
370000,-117.22750091552734
380000,-121.37552642822266
390000,-114.05944061279297
400000,-114.47440338134766
410000,-118.14009857177734
420000,-108.03443145751953
430000,-113.87628936767578
440000,-126.29698944091797
450000,-120.25626373291016
460000,-120.85063171386719
470000,-117.05557250976562
480000,-120.3754653930664
490000,-113.63545227050781
500000,-122.95404815673828
510000,-126.45719909667969
520000,-113.65760803222656
530000,-111.77226257324219
540000,-120.03919982910156
550000,-119.76240539550781
560000,-122.17826843261719
570000,-115.38043212890625
580000,-116.54364013671875
590000,-114.68118286132812
600000,-118.85501098632812
610000,-116.26345825195312
620000,-119.35688018798828
630000,-110.28776550292969
640000,-124.2442855834961
650000,-119.90837097167969
660000,-115.6002426147461
670000,-121.85248565673828
680000,-125.95186614990234
690000,-118.48445129394531
700000,-111.14793395996094
710000,-120.96871948242188
720000,-127.48709106445312
730000,-117.27010345458984
740000,-120.7920913696289
750000,-118.26175689697266
760000,-117.6602554321289
770000,-118.58711242675781
780000,-112.43388366699219
790000,-114.45513916015625
800000,-115.76451110839844
810000,-114.39140319824219
820000,-115.03652954101562
830000,-116.06131744384766
840000,-119.19424438476562
850000,-112.51604461669922
860000,-123.82429504394531
870000,-118.08168029785156
880000,-113.06889343261719
890000,-115.02310180664062
900000,-107.04881286621094
910000,-111.2813949584961
920000,-112.42903900146484
930000,-117.04963684082031
940000,-113.07964324951172
950000,-118.30630493164062
960000,-118.26359558105469
970000,-109.7477798461914
980000,-116.88607025146484
990000,-118.8655014038086
1000000,-122.38548278808594
1010000,-118.11766052246094
1020000,-113.62955474853516
1030000,-118.26051330566406
1040000,-116.5447769165039
1050000,-116.38276672363281
1060000,-114.21199798583984
1070000,-124.74079132080078
1080000,-114.83911895751953
1090000,-111.980712890625
1100000,-118.90386199951172
1110000,-119.12505340576172
1120000,-113.83596801757812
1130000,-107.11732482910156
1140000,-115.41130828857422
1150000,-117.05804443359375
1160000,-119.12952423095703
1170000,-116.66059875488281
1180000,-115.92230987548828
1190000,-118.58949279785156
1200000,-115.30722045898438
1210000,-114.45723724365234
1220000,-116.74983215332031
1230000,-113.7526626586914
1240000,-119.45616149902344
1250000,-120.2494888305664
1260000,-119.61102294921875
1270000,-119.9812240600586
1280000,-114.06584167480469
1290000,-119.26654815673828
1300000,-111.17911529541016
1310000,-113.3603515625
1320000,-117.84980773925781
1330000,-117.48242950439453
1340000,-119.21150970458984
1350000,-114.9500503540039
1360000,-121.16606903076172
1370000,-112.25845336914062
1380000,-117.8555679321289
1390000,-116.64837646484375
1400000,-117.3087387084961
1410000,-114.2483139038086
1420000,-120.4766616821289
1430000,-113.89459228515625
1440000,-120.53142547607422
1450000,-118.814208984375
1460000,-118.16668701171875
1470000,-115.38331604003906
1480000,-113.32089233398438
1490000,-119.30703735351562
1500000,-120.9881820678711
1510000,-107.41294860839844
1520000,-119.89491271972656
1530000,-114.57684326171875
1540000,-122.78060913085938
1550000,-114.43170928955078
1560000,-119.24919128417969
1570000,-110.91425323486328
1580000,-119.74005126953125
1590000,-109.80573272705078
1600000,-119.25725555419922
1610000,-118.35235595703125
1620000,-112.41539001464844
1630000,-110.16162872314453
1640000,-113.41325378417969
1650000,-116.31285858154297
1660000,-120.29964447021484
1670000,-114.22991943359375
1680000,-114.14273834228516
1690000,-118.6070556640625
1700000,-117.03658294677734
1710000,-111.10911560058594
1720000,-115.57655334472656
1730000,-115.57593536376953
1740000,-113.60712432861328
1750000,-114.42906951904297
1760000,-116.34296417236328
1770000,-110.76846313476562
1780000,-111.08758544921875
1790000,-118.24915313720703
1800000,-115.05889129638672
1810000,-119.93968200683594
1820000,-110.80732727050781
1830000,-116.58963775634766
1840000,-115.68608856201172
1850000,-118.88484954833984
1860000,-112.69908142089844
1870000,-106.03903198242188
1880000,-109.5076904296875
1890000,-112.56507110595703
1900000,-120.06257629394531
1910000,-118.89746856689453
1920000,-111.70203399658203
1930000,-109.84168243408203
1940000,-114.45491027832031
1950000,-111.5854721069336
1960000,-116.03853607177734
1970000,-108.40177917480469
1980000,-110.5699691772461
1990000,-115.74725341796875
2000000,-113.20760345458984
2010000,-109.57801055908203
2020000,-109.92961120605469
2030000,-113.0948257446289
2040000,-113.45028686523438
2050000,-118.15776062011719
2060000,-108.51918029785156
2070000,-111.47855377197266
2080000,-111.64818572998047
2090000,-109.53484344482422
2100000,-112.67591094970703
2110000,-111.95057678222656
2120000,-118.08943939208984
2130000,-111.41236114501953
2140000,-112.86962890625
2150000,-105.97305297851562
2160000,-115.12899017333984
2170000,-107.67790985107422
2180000,-113.52619934082031
2190000,-112.6275405883789
2200000,-107.99970245361328
2210000,-108.11732482910156
2220000,-108.65864562988281
2230000,-108.14399719238281
2240000,-116.84616088867188
2250000,-112.13948059082031
2260000,-112.63166809082031
2270000,-110.5412826538086
2280000,-112.28528594970703
2290000,-106.21076965332031
2300000,-102.09112548828125
2310000,-103.73001861572266
2320000,-105.18888854980469
2330000,-105.68462371826172
2340000,-108.64930725097656
2350000,-103.33506774902344
2360000,-112.81460571289062
2370000,-107.63153839111328
2380000,-110.75306701660156
2390000,-106.36578369140625
2400000,-101.3625717163086
2410000,-103.08558654785156
2420000,-107.30120849609375
2430000,-103.46064758300781
2440000,-108.52145385742188
2450000,-110.73289489746094
2460000,-111.34674072265625
2470000,-104.884521484375
2480000,-104.28465270996094
2490000,-105.6997299194336
2500000,-104.8121109008789
2510000,-113.3272705078125
2520000,-111.01390075683594
2530000,-107.49864959716797
2540000,-115.5093765258789
2550000,-114.8240737915039
2560000,-116.29354858398438
2570000,-113.81071472167969
2580000,-108.97225189208984
2590000,-111.64302062988281
2600000,-110.13802337646484
2610000,-110.3394775390625
2620000,-109.61944580078125
2630000,-111.03788757324219
2640000,-112.55178833007812
2650000,-115.33180236816406
2660000,-110.69538879394531
2670000,-112.76962280273438
2680000,-118.69625091552734
2690000,-113.03929138183594
2700000,-116.12345123291016
2710000,-112.94207000732422
2720000,-117.01514434814453
2730000,-115.15996551513672
2740000,-109.9150619506836
2750000,-113.75242614746094
2760000,-109.74850463867188
2770000,-117.84249877929688
2780000,-109.72449493408203
2790000,-112.71664428710938
2800000,-119.51704406738281
2810000,-110.19331359863281
2820000,-108.30455017089844
2830000,-120.11498260498047
2840000,-111.75520324707031
2850000,-113.48748779296875
2860000,-117.05084228515625
2870000,-116.98484802246094
2880000,-117.45719146728516
