Step,Episode Rewards
10000,-121.14704895019531
20000,-115.52259826660156
30000,-117.77775573730469
40000,-115.71919250488281
50000,-115.22110748291016
60000,-121.20960998535156
70000,-118.470947265625
80000,-124.61359405517578
90000,-124.2823715209961
100000,-122.4860610961914
110000,-114.90335845947266
120000,-111.87340545654297
130000,-117.12154388427734
140000,-111.52851867675781
150000,-110.27596282958984
160000,-110.329833984375
170000,-114.40904235839844
180000,-108.34722900390625
190000,-108.0163803100586
200000,-113.41983032226562
210000,-114.9627685546875
220000,-107.7553939819336
230000,-103.63624572753906
240000,-99.77273559570312
250000,-105.4607925415039
260000,-103.78101348876953
270000,-101.33688354492188
280000,-103.82112121582031
290000,-106.17896270751953
300000,-101.2380142211914
310000,-100.84489440917969
320000,-108.98462677001953
330000,-105.21916961669922
340000,-101.14311218261719
350000,-106.09564971923828
360000,-109.18901824951172
370000,-105.41861724853516
380000,-106.26142883300781
390000,-107.21278381347656
400000,-103.18090057373047
410000,-103.79876708984375
420000,-104.60678100585938
430000,-112.69439697265625
440000,-104.96319580078125
450000,-103.84999084472656
460000,-106.12803649902344
470000,-105.56794738769531
480000,-106.3718490600586
490000,-107.42191314697266
500000,-109.52549743652344
510000,-108.73487091064453
520000,-111.4789047241211
530000,-109.62759399414062
540000,-105.3155746459961
550000,-104.77538299560547
560000,-106.31470489501953
570000,-105.86771392822266
580000,-107.82952117919922
590000,-110.45589447021484
600000,-107.2601318359375
610000,-105.36028289794922
620000,-102.87480163574219
630000,-106.00560760498047
640000,-101.55853271484375
650000,-101.5169448852539
660000,-99.16171264648438
670000,-101.5359115600586
680000,-101.28728485107422
690000,-100.15902709960938
700000,-101.55313110351562
710000,-98.77389526367188
720000,-100.09722137451172
730000,-95.4950180053711
740000,-103.47647094726562
750000,-100.85578155517578
760000,-95.13736724853516
770000,-100.34552001953125
780000,-100.27334594726562
790000,-101.84553527832031
800000,-98.1808090209961
810000,-100.4970474243164
820000,-96.21698760986328
830000,-95.2930908203125
840000,-93.91153717041016
850000,-91.75654602050781
860000,-90.40322875976562
870000,-97.0974349975586
880000,-93.56482696533203
890000,-92.16947174072266
900000,-92.9634017944336
910000,-91.48992919921875
920000,-93.15388488769531
930000,-90.1859359741211
940000,-91.62788391113281
950000,-87.51619720458984
960000,-93.84387969970703
970000,-87.37918853759766
980000,-90.73172760009766
990000,-96.40168762207031
1000000,-90.64295196533203
1010000,-95.80854797363281
1020000,-90.5279769897461
1030000,-95.9010009765625
1040000,-93.71955871582031
1050000,-92.68018341064453
1060000,-90.8267593383789
1070000,-93.45281982421875
1080000,-96.5229263305664
1090000,-94.38591003417969
1100000,-94.0325927734375
1110000,-92.43106079101562
1120000,-94.51057434082031
1130000,-94.49040222167969
1140000,-95.93290710449219
1150000,-99.91096496582031
1160000,-94.04330444335938
1170000,-88.51939392089844
1180000,-94.32820129394531
1190000,-91.03722381591797
1200000,-92.1111831665039
1210000,-92.01168823242188
1220000,-92.10536193847656
1230000,-88.95880126953125
1240000,-92.27901458740234
1250000,-90.1610107421875
1260000,-84.73466491699219
1270000,-87.00776672363281
1280000,-86.9976806640625
1290000,-87.20201110839844
1300000,-89.8876724243164
1310000,-85.78881072998047
1320000,-87.55258178710938
1330000,-88.74320983886719
1340000,-87.75492095947266
1350000,-86.38941955566406
1360000,-87.45634460449219
1370000,-88.49471282958984
1380000,-86.86494445800781
1390000,-93.97154998779297
1400000,-90.23104858398438
1410000,-91.68603515625
1420000,-86.80211639404297
1430000,-92.81427764892578
1440000,-88.153564453125
1450000,-87.15544128417969
1460000,-84.09613037109375
1470000,-85.11528778076172
1480000,-87.61028289794922
1490000,-86.26836395263672
1500000,-85.84245300292969
1510000,-84.28512573242188
1520000,-85.8713607788086
1530000,-90.36192321777344
1540000,-85.89679718017578
1550000,-84.4799575805664
1560000,-83.00398254394531
1570000,-87.2825698852539
1580000,-81.69320678710938
1590000,-88.49283599853516
1600000,-82.6998291015625
1610000,-85.44483184814453
1620000,-86.02030181884766
1630000,-88.6750259399414
1640000,-86.68978881835938
1650000,-88.12020874023438
1660000,-86.85408782958984
1670000,-87.89933013916016
1680000,-86.7776870727539
1690000,-89.2282943725586
1700000,-86.48635864257812
1710000,-86.6460952758789
1720000,-85.42579650878906
1730000,-88.24359893798828
1740000,-87.95680236816406
1750000,-89.21514892578125
1760000,-87.56521606445312
1770000,-94.8565673828125
1780000,-93.16075134277344
1790000,-90.20787048339844
1800000,-90.50613403320312
1810000,-91.3198471069336
1820000,-89.54349517822266
1830000,-87.82730865478516
1840000,-86.71837615966797
1850000,-82.76168823242188
1860000,-86.51944732666016
1870000,-88.052490234375
1880000,-85.87651824951172
1890000,-86.41484832763672
