Step,Episode Rewards
10000,-118.16841125488281
20000,-123.98467254638672
30000,-118.01766967773438
40000,-122.56379699707031
50000,-125.08306121826172
60000,-123.23601531982422
70000,-128.2215576171875
80000,-130.19166564941406
90000,-122.30792236328125
100000,-125.88854217529297
110000,-123.52873992919922
120000,-130.4319305419922
130000,-116.90384674072266
140000,-118.6323471069336
150000,-119.55821990966797
160000,-113.94361877441406
170000,-118.31520080566406
180000,-118.8865966796875
190000,-109.1133041381836
200000,-120.17530822753906
210000,-120.71088409423828
220000,-116.0880126953125
230000,-115.1966323852539
240000,-116.35868072509766
250000,-114.1124496459961
260000,-114.937255859375
270000,-116.87480926513672
280000,-117.74934387207031
290000,-112.77902221679688
300000,-108.89647674560547
310000,-105.3077392578125
320000,-107.26677703857422
330000,-106.81281280517578
340000,-105.4238052368164
350000,-106.8720703125
360000,-105.25601959228516
370000,-103.0491714477539
380000,-111.00714111328125
390000,-104.88735961914062
400000,-109.63848114013672
410000,-103.14472198486328
420000,-104.56362915039062
430000,-108.0462875366211
440000,-107.26168823242188
450000,-106.258056640625
460000,-102.94023132324219
470000,-104.78619384765625
480000,-101.90260314941406
490000,-98.8203353881836
500000,-98.6512680053711
510000,-96.3350601196289
520000,-95.11933898925781
530000,-94.30034637451172
540000,-96.20252227783203
550000,-93.22956848144531
560000,-95.16236114501953
570000,-97.04385375976562
580000,-96.09224700927734
590000,-98.94480895996094
600000,-99.16504669189453
610000,-97.15340423583984
620000,-94.84471130371094
630000,-94.49540710449219
640000,-96.19586181640625
650000,-92.20404815673828
660000,-96.98786163330078
670000,-100.36310577392578
680000,-96.77767944335938
690000,-95.25308227539062
700000,-90.72795867919922
710000,-94.49644470214844
720000,-93.36943054199219
730000,-92.04971313476562
740000,-89.20973205566406
750000,-87.53429412841797
760000,-89.87506103515625
770000,-90.77874755859375
780000,-89.99674224853516
790000,-88.18359375
800000,-91.70050048828125
810000,-90.05799865722656
820000,-91.57830047607422
830000,-87.01663208007812
840000,-87.1004409790039
850000,-87.55052185058594
860000,-84.447021484375
870000,-84.3808364868164
880000,-86.47171783447266
890000,-85.73970031738281
900000,-86.13713073730469
910000,-80.1829833984375
920000,-82.27078247070312
930000,-83.8083724975586
940000,-81.80003356933594
950000,-80.3248062133789
960000,-81.22742462158203
970000,-82.29451751708984
980000,-81.0335464477539
990000,-81.03987121582031
1000000,-80.89291381835938
1010000,-83.42003631591797
1020000,-81.93840026855469
1030000,-81.22599029541016
1040000,-81.75117492675781
1050000,-79.30848693847656
1060000,-77.87815856933594
1070000,-81.77852630615234
1080000,-79.53108215332031
1090000,-78.14995574951172
1100000,-77.95252227783203
1110000,-77.46550750732422
1120000,-77.36346435546875
1130000,-74.75823974609375
1140000,-75.95413970947266
1150000,-76.7792739868164
1160000,-78.7931137084961
1170000,-74.49089050292969
1180000,-76.91284942626953
1190000,-77.20513916015625
1200000,-78.5180892944336
1210000,-76.87391662597656
1220000,-74.73511505126953
1230000,-78.78330993652344
1240000,-76.89065551757812
1250000,-79.89798736572266
1260000,-76.48896026611328
1270000,-79.65379333496094
1280000,-80.72187042236328
1290000,-80.24359893798828
1300000,-76.4291000366211
1310000,-76.94843292236328
1320000,-80.08453369140625
1330000,-77.7139892578125
1340000,-78.06231689453125
1350000,-77.59898376464844
1360000,-78.73986053466797
1370000,-76.8354263305664
1380000,-76.19499206542969
1390000,-76.05493927001953
1400000,-77.12098693847656
1410000,-75.88748931884766
1420000,-79.95919036865234
1430000,-74.67852020263672
1440000,-76.41339111328125
1450000,-77.9456787109375
1460000,-77.9789810180664
1470000,-77.6683578491211
1480000,-75.76702880859375
1490000,-76.65980529785156
1500000,-76.55882263183594
1510000,-76.96694946289062
1520000,-76.56021118164062
1530000,-74.5306396484375
1540000,-76.67158508300781
1550000,-75.49691772460938
1560000,-72.96418762207031
1570000,-73.67024993896484
1580000,-74.4947509765625
1590000,-72.56690979003906
1600000,-73.50504302978516
1610000,-73.05647277832031
1620000,-71.08562469482422
1630000,-73.70026397705078
1640000,-71.944091796875
1650000,-71.77853393554688
1660000,-72.11717987060547
1670000,-73.0287857055664
1680000,-70.3294677734375
1690000,-71.4431381225586
1700000,-72.48807525634766
1710000,-74.85520935058594
1720000,-73.04399108886719
1730000,-71.32774353027344
1740000,-72.90744018554688
1750000,-74.67993927001953
1760000,-72.30785369873047
1770000,-73.65967559814453
1780000,-75.19989013671875
1790000,-75.06857299804688
1800000,-73.63299560546875
1810000,-74.7752685546875
1820000,-74.70121002197266
1830000,-76.43685150146484
1840000,-71.40080261230469
1850000,-74.39146423339844
1860000,-73.89077758789062
1870000,-71.8416519165039
1880000,-73.96380615234375
1890000,-74.5237045288086
1900000,-74.65339660644531
1910000,-73.97518157958984
1920000,-71.67689514160156
1930000,-74.36412811279297
1940000,-73.5951156616211
1950000,-74.40653991699219
1960000,-73.5265884399414
1970000,-72.86113739013672
1980000,-73.56543731689453
1990000,-71.72459411621094
2000000,-73.65550994873047
2010000,-73.49925231933594
2020000,-73.32994079589844
2030000,-74.88129425048828
2040000,-77.1126708984375
2050000,-74.77560424804688
2060000,-75.0787353515625
2070000,-73.83048248291016
2080000,-72.47486877441406
2090000,-73.52713012695312
2100000,-73.89866638183594
2110000,-72.48141479492188
2120000,-70.5745849609375
2130000,-74.00547790527344
2140000,-70.91693115234375
2150000,-73.67588806152344
2160000,-72.63921356201172
2170000,-74.83930969238281
2180000,-75.2091064453125
2190000,-73.45176696777344
2200000,-74.90079498291016
2210000,-74.69131469726562
