Step,Episode Rewards
10000,-127.41378021240234
20000,-117.10113525390625
30000,-78.19498443603516
40000,-35.30865478515625
50000,-28.650856018066406
60000,-25.331071853637695
70000,-23.595653533935547
80000,-24.518770217895508
90000,-22.407957077026367
100000,-22.683683395385742
110000,-23.135971069335938
120000,-24.520679473876953
130000,-24.212844848632812
140000,-28.293699264526367
150000,-26.53219985961914
160000,-26.55568504333496
170000,-28.327722549438477
180000,-27.464710235595703
190000,-33.20121765136719
200000,-30.3685302734375
210000,-36.851539611816406
220000,-32.0580940246582
230000,-31.58749008178711
240000,-35.30081558227539
250000,-31.505615234375
260000,-31.927196502685547
270000,-38.20368957519531
280000,-39.08021926879883
290000,-35.09678268432617
300000,-29.382797241210938
310000,-32.521549224853516
320000,-36.251583099365234
330000,-36.45258712768555
340000,-32.348995208740234
350000,-31.031782150268555
360000,-30.337438583374023
370000,-31.176008224487305
380000,-44.417137145996094
390000,-34.06023406982422
400000,-43.38456726074219
410000,-42.21358108520508
420000,-34.73619079589844
430000,-34.47905731201172
440000,-39.07400131225586
450000,-42.32185363769531
460000,-51.16392517089844
470000,-39.88603973388672
480000,-61.66096878051758
490000,-58.05309295654297
500000,-48.815773010253906
510000,-33.096046447753906
520000,-36.8519287109375
530000,-40.38186264038086
540000,-47.890907287597656
550000,-32.51667404174805
560000,-36.336856842041016
570000,-31.517744064331055
580000,-30.989727020263672
590000,-34.7154655456543
600000,-26.113569259643555
610000,-26.90628433227539
620000,-42.849002838134766
630000,-34.31597137451172
640000,-44.386505126953125
650000,-23.860809326171875
660000,-25.700241088867188
670000,-21.942691802978516
680000,-32.70188522338867
690000,-44.61775588989258
700000,-38.88437271118164
710000,-32.52676773071289
720000,-47.037410736083984
730000,-39.65861892700195
740000,-55.201255798339844
750000,-56.60844421386719
760000,-37.43561935424805
770000,-38.21105194091797
780000,-56.83644104003906
790000,-50.29632568359375
800000,-49.66660690307617
810000,-84.20967102050781
820000,-58.043331146240234
830000,-64.80381774902344
840000,-66.30741882324219
850000,-112.23672485351562
860000,-84.27215576171875
870000,-72.340087890625
880000,-66.07454681396484
890000,-67.2015609741211
900000,-54.127220153808594
910000,-33.279212951660156
920000,-42.60057830810547
930000,-34.82220458984375
940000,-53.532508850097656
950000,-53.32231903076172
960000,-65.90267944335938
970000,-20.34463119506836
980000,-35.67108154296875
990000,-45.74796676635742
1000000,-36.09675979614258
1010000,-17.927038192749023
1020000,-19.910921096801758
1030000,-19.06749725341797
1040000,-23.03402328491211
1050000,-19.562633514404297
1060000,-18.450864791870117
1070000,-18.348546981811523
1080000,-18.5632381439209
1090000,-18.625911712646484
1100000,-19.089855194091797
1110000,-17.577848434448242
1120000,-18.256168365478516
1130000,-18.139375686645508
1140000,-19.38038444519043
1150000,-19.78729248046875
1160000,-19.05503273010254
1170000,-18.360618591308594
1180000,-18.803056716918945
1190000,-16.95431900024414
1200000,-17.000938415527344
1210000,-19.297338485717773
1220000,-18.554611206054688
1230000,-17.031063079833984
1240000,-18.802139282226562
1250000,-17.862884521484375
1260000,-16.77957534790039
1270000,-19.873146057128906
1280000,-16.998197555541992
1290000,-15.787986755371094
1300000,-18.800575256347656
1310000,-17.92714500427246
1320000,-19.018400192260742
1330000,-17.693174362182617
1340000,-16.652923583984375
1350000,-17.70305633544922
1360000,-17.67246437072754
1370000,-17.57119369506836
1380000,-18.050525665283203
1390000,-17.751508712768555
1400000,-17.84902000427246
1410000,-16.832365036010742
1420000,-17.36132049560547
1430000,-17.4285888671875
1440000,-16.911415100097656
1450000,-17.339324951171875
1460000,-16.358890533447266
1470000,-16.355670928955078
1480000,-18.063886642456055
1490000,-18.38446617126465
1500000,-17.812158584594727
1510000,-17.654476165771484
1520000,-18.179262161254883
1530000,-17.321819305419922
1540000,-17.001901626586914
1550000,-17.309728622436523
1560000,-17.912233352661133
1570000,-18.226085662841797
1580000,-17.146419525146484
1590000,-18.193561553955078
1600000,-18.419382095336914
1610000,-16.680280685424805
1620000,-17.848102569580078
1630000,-17.50271987915039
1640000,-18.1193904876709
1650000,-18.486780166625977
1660000,-17.75357437133789
1670000,-18.168487548828125
1680000,-16.843042373657227
1690000,-16.49234962463379
1700000,-17.585050582885742
1710000,-19.0230770111084
1720000,-18.040800094604492
1730000,-17.272796630859375
1740000,-17.5252685546875
1750000,-18.380367279052734
1760000,-18.177690505981445
1770000,-17.30074119567871
1780000,-17.460296630859375
1790000,-16.94466781616211
1800000,-17.775386810302734
1810000,-18.04294776916504
1820000,-17.801862716674805
1830000,-17.450035095214844
1840000,-17.913148880004883
1850000,-17.625080108642578
1860000,-18.328243255615234
1870000,-17.706262588500977
1880000,-16.561141967773438
1890000,-17.825634002685547
1900000,-17.808183670043945
1910000,-16.82770347595215
1920000,-18.135292053222656
1930000,-17.847726821899414
1940000,-17.759235382080078
1950000,-17.45953369140625
1960000,-17.241636276245117
1970000,-17.268369674682617
1980000,-17.655231475830078
1990000,-17.47232437133789
2000000,-17.78474998474121
