Step,Episode Rewards
10000,-117.79782104492188
20000,-99.28457641601562
30000,-98.79949188232422
40000,-111.69668579101562
50000,-107.21163940429688
60000,-104.18183898925781
70000,-87.59123992919922
80000,-72.40925598144531
90000,-72.03125762939453
100000,-67.62940979003906
110000,-56.89730453491211
120000,-58.478668212890625
130000,-55.294593811035156
140000,-57.99559783935547
150000,-55.48441696166992
160000,-55.567649841308594
170000,-59.55255889892578
180000,-62.75481033325195
190000,-54.38150405883789
200000,-55.18453598022461
210000,-52.63263702392578
220000,-49.75841522216797
230000,-54.19525909423828
240000,-53.30657958984375
250000,-53.19829177856445
260000,-59.861854553222656
270000,-55.892662048339844
280000,-50.873817443847656
290000,-49.86330032348633
300000,-52.30088806152344
310000,-50.371986389160156
320000,-51.604637145996094
330000,-52.52532958984375
340000,-51.539398193359375
350000,-55.64508819580078
360000,-50.48262023925781
370000,-51.031455993652344
380000,-52.764373779296875
390000,-52.378910064697266
400000,-49.452205657958984
410000,-49.37662887573242
420000,-56.17673873901367
430000,-57.727073669433594
440000,-57.140525817871094
450000,-53.968257904052734
460000,-54.49405288696289
470000,-50.06816482543945
480000,-49.127010345458984
490000,-49.75777816772461
500000,-47.871585845947266
510000,-53.51830291748047
520000,-50.93233871459961
530000,-49.744808197021484
540000,-52.12873840332031
550000,-54.28742599487305
560000,-55.030860900878906
570000,-54.95203399658203
580000,-49.02092361450195
590000,-49.79115295410156
600000,-54.70909118652344
610000,-51.05919647216797
620000,-51.66624069213867
630000,-53.82887649536133
640000,-47.878944396972656
650000,-47.90308380126953
660000,-51.1071891784668
670000,-48.69015884399414
680000,-52.596858978271484
690000,-52.562530517578125
700000,-53.03873825073242
710000,-51.035484313964844
720000,-49.48465347290039
730000,-50.655582427978516
740000,-52.959739685058594
750000,-51.39535903930664
760000,-47.82090759277344
770000,-50.756134033203125
780000,-51.253231048583984
790000,-50.1442756652832
800000,-50.14025115966797
