Step,Episode Rewards
10000,-162.5443878173828
20000,-157.77783203125
30000,-133.13946533203125
40000,-76.31757354736328
50000,-66.1384048461914
60000,-47.2110595703125
70000,-45.4320068359375
80000,-45.349853515625
90000,-46.42841339111328
100000,-45.244659423828125
110000,-48.6993408203125
120000,-48.246673583984375
130000,-52.63320541381836
140000,-52.23786163330078
150000,-47.158016204833984
160000,-48.847503662109375
170000,-48.456600189208984
180000,-51.31118392944336
190000,-50.28287887573242
200000,-49.075313568115234
210000,-56.51702880859375
220000,-58.85923385620117
230000,-57.3239631652832
240000,-59.22820281982422
250000,-55.06415939331055
260000,-57.192405700683594
270000,-54.38109588623047
280000,-55.03944396972656
290000,-59.90945816040039
300000,-58.41946792602539
310000,-61.81136703491211
320000,-57.17875671386719
330000,-54.14945983886719
340000,-60.67023468017578
350000,-55.064476013183594
360000,-60.680179595947266
370000,-65.02405548095703
380000,-63.87238311767578
390000,-55.30520248413086
400000,-45.986846923828125
410000,-41.5186653137207
420000,-45.341190338134766
430000,-36.89076614379883
440000,-43.07632064819336
450000,-39.524452209472656
460000,-40.011051177978516
470000,-39.591129302978516
480000,-37.879974365234375
490000,-39.42832946777344
500000,-37.62591552734375
510000,-36.085445404052734
520000,-39.485713958740234
530000,-36.66669845581055
540000,-37.06571960449219
550000,-37.36205291748047
560000,-35.865787506103516
570000,-37.66438293457031
580000,-36.85348129272461
590000,-34.007694244384766
600000,-34.7458610534668
610000,-33.51765060424805
620000,-35.13163757324219
630000,-36.14973068237305
640000,-35.045814514160156
650000,-35.651634216308594
660000,-35.45376968383789
670000,-34.9307975769043
680000,-35.62273025512695
690000,-34.16214370727539
700000,-33.80080032348633
710000,-31.945636749267578
720000,-32.22218322753906
730000,-34.236446380615234
740000,-33.92231750488281
750000,-36.117061614990234
760000,-35.01547622680664
770000,-34.61390686035156
780000,-35.62098693847656
790000,-33.01051712036133
800000,-32.99103927612305
