Step,Episode Rewards
10000,-225.20669555664062
20000,-190.72854614257812
30000,-155.03709411621094
40000,-111.85186004638672
50000,-100.22982788085938
60000,-73.40845489501953
70000,-65.1523208618164
80000,-56.3817024230957
90000,-52.93356704711914
100000,-63.01498031616211
110000,-56.68852233886719
120000,-56.52355194091797
130000,-54.8920783996582
140000,-55.34922790527344
150000,-51.33338928222656
160000,-55.73788833618164
170000,-56.336849212646484
180000,-54.31992721557617
190000,-49.98129653930664
200000,-52.58012771606445
210000,-53.64249801635742
220000,-52.94559097290039
230000,-63.16209030151367
240000,-56.14680480957031
250000,-50.995243072509766
260000,-47.6060905456543
270000,-64.84486389160156
280000,-70.48677825927734
290000,-64.34081268310547
300000,-57.85546112060547
310000,-54.15555191040039
320000,-53.6549186706543
330000,-52.32802200317383
340000,-53.45599365234375
350000,-47.8797492980957
360000,-53.69779968261719
370000,-42.46039962768555
380000,-42.156131744384766
390000,-41.650882720947266
400000,-41.646114349365234
410000,-38.21472930908203
420000,-45.25027084350586
430000,-39.16361999511719
440000,-37.88664245605469
450000,-39.44272232055664
460000,-37.03065872192383
470000,-39.195579528808594
480000,-39.71013259887695
490000,-38.35318374633789
500000,-34.6588134765625
510000,-38.457881927490234
520000,-40.467079162597656
530000,-42.328880310058594
540000,-41.323570251464844
550000,-39.731136322021484
560000,-39.99171447753906
570000,-40.81746292114258
580000,-40.086158752441406
590000,-40.10517501831055
600000,-39.58293533325195
610000,-37.258243560791016
620000,-38.65791702270508
630000,-39.81589889526367
640000,-39.007991790771484
650000,-38.918067932128906
660000,-36.501434326171875
670000,-37.65312194824219
680000,-38.93263244628906
690000,-39.53042221069336
700000,-36.74860763549805
710000,-38.45387268066406
720000,-37.62336349487305
730000,-39.62514877319336
740000,-38.16480255126953
750000,-38.5693359375
760000,-38.80246353149414
770000,-37.323997497558594
780000,-39.49048614501953
790000,-38.13753128051758
800000,-36.251949310302734
