Step,Episode Rewards
10000,-166.52085876464844
20000,-166.6683807373047
30000,-166.4737548828125
40000,-160.80606079101562
50000,-177.4326171875
60000,-167.0824432373047
70000,-166.35787963867188
80000,-177.6488800048828
90000,-174.7212677001953
100000,-169.89022827148438
110000,-170.15171813964844
120000,-171.05995178222656
130000,-172.8095703125
140000,-173.1696319580078
150000,-173.4687042236328
160000,-167.5759735107422
170000,-173.2961883544922
180000,-170.0132293701172
190000,-177.70419311523438
200000,-173.63729858398438
210000,-185.50022888183594
220000,-173.00982666015625
230000,-169.6475067138672
240000,-176.07151794433594
250000,-174.14508056640625
260000,-172.7522430419922
270000,-176.75875854492188
280000,-173.8754425048828
290000,-177.3458709716797
300000,-171.81796264648438
310000,-174.92454528808594
320000,-180.7849884033203
330000,-178.50181579589844
340000,-170.47108459472656
350000,-170.00445556640625
360000,-169.59671020507812
370000,-157.70343017578125
380000,-172.86631774902344
390000,-157.84689331054688
400000,-165.7373809814453
410000,-167.896484375
420000,-168.36288452148438
430000,-163.2769775390625
440000,-174.28538513183594
450000,-171.96421813964844
460000,-176.2537078857422
470000,-168.64024353027344
480000,-170.5850067138672
490000,-174.9163055419922
500000,-165.01548767089844
510000,-170.00369262695312
520000,-169.66748046875
530000,-164.76283264160156
540000,-171.2726593017578
550000,-172.4564666748047
560000,-173.11544799804688
570000,-171.99014282226562
580000,-176.8508758544922
590000,-172.07090759277344
600000,-164.6577911376953
610000,-167.39474487304688
620000,-176.6028289794922
630000,-164.14480590820312
640000,-174.5157928466797
650000,-159.6002197265625
660000,-173.5076141357422
670000,-163.80401611328125
680000,-167.91915893554688
690000,-174.78419494628906
700000,-165.14205932617188
710000,-173.18234252929688
720000,-167.57217407226562
730000,-168.7341766357422
740000,-169.96176147460938
750000,-170.81838989257812
760000,-169.75306701660156
770000,-164.77513122558594
780000,-175.6202850341797
790000,-169.55111694335938
800000,-169.498779296875
810000,-177.02760314941406
820000,-163.2311553955078
830000,-169.50758361816406
840000,-160.16256713867188
850000,-175.38775634765625
860000,-171.55348205566406
870000,-180.5164337158203
880000,-169.68402099609375
890000,-176.93521118164062
900000,-168.58197021484375
910000,-170.6893768310547
920000,-170.9521026611328
930000,-166.54916381835938
940000,-171.29856872558594
950000,-168.53842163085938
960000,-169.83718872070312
970000,-168.292236328125
980000,-165.02378845214844
990000,-174.3604278564453
1000000,-175.6602325439453
1010000,-164.01866149902344
1020000,-169.06846618652344
1030000,-169.92013549804688
1040000,-167.9608154296875
1050000,-172.331787109375
1060000,-166.3677215576172
1070000,-169.6216583251953
1080000,-163.02880859375
1090000,-166.3914031982422
1100000,-169.87301635742188
1110000,-159.62017822265625
1120000,-167.15347290039062
1130000,-167.56752014160156
1140000,-172.68666076660156
1150000,-174.7487030029297
1160000,-170.56382751464844
1170000,-168.8181610107422
1180000,-167.94918823242188
1190000,-159.40736389160156
1200000,-159.4719696044922
1210000,-177.10501098632812
1220000,-172.1730499267578
1230000,-161.87916564941406
1240000,-174.2839813232422
1250000,-168.90390014648438
1260000,-161.78224182128906
1270000,-182.04913330078125
1280000,-165.7207794189453
1290000,-154.1747589111328
1300000,-174.80641174316406
1310000,-167.9945526123047
1320000,-175.6817626953125
1330000,-169.21408081054688
1340000,-159.33062744140625
1350000,-166.81924438476562
1360000,-167.8695831298828
1370000,-167.31024169921875
1380000,-170.09974670410156
1390000,-167.34954833984375
1400000,-166.7237091064453
1410000,-160.48281860351562
1420000,-164.07504272460938
1430000,-162.99888610839844
1440000,-158.75221252441406
1450000,-161.255126953125
1460000,-157.0687713623047
1470000,-157.52073669433594
1480000,-168.76466369628906
1490000,-173.03834533691406
1500000,-165.3292999267578
1510000,-168.17828369140625
1520000,-169.96690368652344
1530000,-164.171142578125
1540000,-157.92596435546875
1550000,-161.5777130126953
1560000,-165.32093811035156
1570000,-170.594482421875
1580000,-162.8007049560547
1590000,-165.97303771972656
1600000,-171.0657958984375
1610000,-158.8140411376953
1620000,-165.68173217773438
1630000,-163.99343872070312
1640000,-167.33242797851562
1650000,-170.1031951904297
1660000,-166.879150390625
1670000,-168.0625762939453
1680000,-158.87477111816406
1690000,-155.51385498046875
1700000,-166.70767211914062
1710000,-172.73048400878906
1720000,-168.52476501464844
1730000,-165.9760284423828
1740000,-163.8999481201172
1750000,-170.4082794189453
1760000,-167.06605529785156
1770000,-165.46884155273438
1780000,-164.70204162597656
1790000,-160.38253784179688
1800000,-163.7803955078125
1810000,-166.7705535888672
1820000,-168.05418395996094
1830000,-161.53973388671875
1840000,-166.50869750976562
1850000,-163.89952087402344
1860000,-168.93521118164062
1870000,-165.20262145996094
1880000,-157.03114318847656
1890000,-164.18624877929688
1900000,-165.05789184570312
1910000,-160.5341033935547
1920000,-165.44569396972656
1930000,-167.3441925048828
1940000,-165.80250549316406
1950000,-163.43421936035156
1960000,-160.0445556640625
1970000,-164.1998748779297
1980000,-165.66754150390625
1990000,-165.20216369628906
2000000,-162.66278076171875
