Step,Episode Rewards
10000,-177.0907745361328
20000,-165.29258728027344
30000,-167.9443359375
40000,-162.67047119140625
50000,-163.728271484375
60000,-166.76437377929688
70000,-146.99620056152344
80000,-153.6980743408203
90000,-150.9702911376953
100000,-159.20147705078125
110000,-159.1739959716797
120000,-149.54322814941406
130000,-138.8301544189453
140000,-133.8069610595703
150000,-131.7584991455078
160000,-126.37567901611328
170000,-125.20021057128906
180000,-123.1657943725586
190000,-105.23393249511719
200000,-98.96685791015625
210000,-98.97200012207031
220000,-100.30537414550781
230000,-98.02497863769531
240000,-108.92578887939453
250000,-100.78777313232422
260000,-99.91349029541016
270000,-99.5414810180664
280000,-96.7394027709961
290000,-88.10797119140625
300000,-74.95904541015625
310000,-74.57414245605469
320000,-77.29996490478516
330000,-80.65216827392578
340000,-93.13392639160156
350000,-94.62032318115234
360000,-87.2357406616211
370000,-77.48003387451172
380000,-95.748046875
390000,-91.75166320800781
400000,-90.9311752319336
410000,-95.16204833984375
420000,-97.70870208740234
430000,-110.87538146972656
440000,-101.66490936279297
450000,-110.5464096069336
460000,-111.88272094726562
470000,-114.1336898803711
480000,-99.29561614990234
490000,-109.68521881103516
500000,-118.79886627197266
510000,-133.1597442626953
520000,-147.7599334716797
530000,-154.8451385498047
540000,-144.87954711914062
550000,-137.42153930664062
560000,-124.95442962646484
570000,-119.81810760498047
580000,-108.9572525024414
590000,-111.94708251953125
600000,-106.1905517578125
610000,-89.04698944091797
620000,-98.97744750976562
630000,-111.06603240966797
640000,-98.94963836669922
650000,-103.82957458496094
660000,-101.1321029663086
670000,-94.57171630859375
680000,-88.90995788574219
690000,-84.09031677246094
700000,-77.33333587646484
710000,-71.23241424560547
720000,-70.68848419189453
730000,-70.66355895996094
740000,-71.60889434814453
750000,-81.87924194335938
760000,-77.07084655761719
770000,-75.66041564941406
780000,-65.75424194335938
790000,-70.25318145751953
800000,-68.76464080810547
810000,-67.03809356689453
820000,-66.95056915283203
830000,-64.27875518798828
840000,-53.97747802734375
850000,-63.447444915771484
860000,-62.803009033203125
870000,-55.10006332397461
880000,-60.985225677490234
890000,-66.01165008544922
900000,-63.590213775634766
910000,-61.70319747924805
920000,-63.5081901550293
930000,-67.15617370605469
940000,-63.47671890258789
950000,-64.82514953613281
960000,-60.627662658691406
970000,-60.0601692199707
980000,-59.73947525024414
990000,-62.11210250854492
1000000,-54.3996696472168
1010000,-57.5913200378418
1020000,-55.930416107177734
1030000,-55.69998550415039
1040000,-56.078453063964844
1050000,-58.221290588378906
1060000,-56.62245559692383
1070000,-51.17638397216797
1080000,-54.65026092529297
1090000,-49.141990661621094
1100000,-53.42185592651367
1110000,-51.92153549194336
1120000,-52.768218994140625
1130000,-55.739566802978516
1140000,-50.90189743041992
1150000,-54.52421188354492
1160000,-50.25186538696289
1170000,-49.83518600463867
1180000,-49.84807586669922
1190000,-49.137142181396484
1200000,-50.09935760498047
1210000,-52.25936508178711
1220000,-49.75559997558594
1230000,-49.29048156738281
1240000,-48.8762092590332
1250000,-51.38829803466797
1260000,-50.44660186767578
1270000,-49.34367752075195
1280000,-48.56918716430664
1290000,-50.58407211303711
1300000,-49.01935577392578
1310000,-49.899845123291016
1320000,-48.17616653442383
1330000,-46.21506881713867
1340000,-47.56062698364258
1350000,-48.84248733520508
1360000,-52.062477111816406
1370000,-49.83428955078125
1380000,-48.616119384765625
1390000,-47.52874755859375
1400000,-46.028141021728516
1410000,-49.03812789916992
1420000,-46.90653991699219
1430000,-47.8729133605957
1440000,-48.42110824584961
1450000,-47.53818130493164
1460000,-45.98195266723633
1470000,-49.10186767578125
1480000,-49.661766052246094
1490000,-48.36664581298828
1500000,-46.490230560302734
1510000,-49.83347702026367
1520000,-46.768672943115234
1530000,-48.327964782714844
1540000,-46.775848388671875
1550000,-47.55217742919922
1560000,-44.0659065246582
1570000,-45.53445053100586
1580000,-48.10988998413086
1590000,-51.05937576293945
1600000,-46.182273864746094
1610000,-52.232234954833984
1620000,-45.77142333984375
1630000,-46.802154541015625
1640000,-47.540740966796875
1650000,-49.97760009765625
1660000,-49.525367736816406
1670000,-49.04737091064453
1680000,-46.78877258300781
1690000,-46.392669677734375
1700000,-46.31127166748047
1710000,-45.59782409667969
1720000,-45.98566818237305
1730000,-45.40404510498047
1740000,-47.21031188964844
1750000,-50.30503845214844
1760000,-45.90574264526367
1770000,-44.59510803222656
1780000,-45.3570556640625
1790000,-47.469871520996094
1800000,-44.711021423339844
1810000,-46.71193313598633
1820000,-46.378814697265625
1830000,-44.668453216552734
1840000,-44.50064468383789
1850000,-46.024192810058594
1860000,-43.309165954589844
1870000,-46.311031341552734
1880000,-47.396034240722656
1890000,-45.519615173339844
1900000,-44.9622802734375
1910000,-45.333473205566406
1920000,-47.01307678222656
1930000,-45.14606857299805
1940000,-45.71173095703125
1950000,-48.973140716552734
1960000,-42.95036315917969
1970000,-47.17487716674805
1980000,-44.501800537109375
1990000,-47.071678161621094
2000000,-45.834259033203125
