Step,Episode Rewards
10000,-166.35879516601562
20000,-170.0175018310547
30000,-170.34275817871094
40000,-161.61358642578125
50000,-174.0347900390625
60000,-161.42337036132812
70000,-165.81947326660156
80000,-176.32049560546875
90000,-161.7010498046875
100000,-158.36305236816406
110000,-160.74053955078125
120000,-166.82513427734375
130000,-171.4302978515625
140000,-185.5229949951172
150000,-178.57862854003906
160000,-161.64170837402344
170000,-160.15013122558594
180000,-159.2282257080078
190000,-152.2732696533203
200000,-128.39613342285156
210000,-125.93096923828125
220000,-105.1219253540039
230000,-93.15347290039062
240000,-93.0565414428711
250000,-76.42164611816406
260000,-84.94830322265625
270000,-69.03154754638672
280000,-61.561824798583984
290000,-62.86658477783203
300000,-60.3502311706543
310000,-67.14888000488281
320000,-62.906124114990234
330000,-58.60994338989258
340000,-59.05647277832031
350000,-60.28410720825195
360000,-56.63047790527344
370000,-59.83778762817383
380000,-67.12300872802734
390000,-60.43161392211914
400000,-57.82073974609375
410000,-54.66096115112305
420000,-52.781211853027344
430000,-49.111473083496094
440000,-49.89845275878906
450000,-49.497520446777344
460000,-59.257381439208984
470000,-50.14231872558594
480000,-52.130882263183594
490000,-50.98887634277344
500000,-45.026573181152344
510000,-49.30583572387695
520000,-47.89496612548828
530000,-39.78731918334961
540000,-47.887752532958984
550000,-44.88691711425781
560000,-46.500022888183594
570000,-48.45924758911133
580000,-52.159297943115234
590000,-48.18133544921875
600000,-45.89397048950195
610000,-44.90129470825195
620000,-51.11166763305664
630000,-52.72394943237305
640000,-50.8938102722168
650000,-48.631221771240234
660000,-50.40800857543945
670000,-46.51590347290039
680000,-43.060115814208984
690000,-50.27311325073242
700000,-48.04253387451172
710000,-48.70402526855469
720000,-45.39213180541992
730000,-47.96587371826172
740000,-46.378116607666016
750000,-47.0009651184082
760000,-43.11272048950195
770000,-41.80934143066406
780000,-48.13327407836914
790000,-44.30385208129883
800000,-47.16440963745117
810000,-46.602787017822266
820000,-44.53453063964844
830000,-50.54893112182617
840000,-43.800262451171875
850000,-47.22551345825195
860000,-41.96546936035156
870000,-48.52773666381836
880000,-42.007362365722656
890000,-43.60515594482422
900000,-41.63167190551758
910000,-39.78461456298828
920000,-38.87091827392578
930000,-37.99428939819336
940000,-37.13991928100586
950000,-38.231101989746094
960000,-37.6097526550293
970000,-38.61112594604492
980000,-38.00996398925781
990000,-41.03113555908203
1000000,-42.05259704589844
1010000,-37.56135177612305
1020000,-38.5051383972168
1030000,-38.82498550415039
1040000,-41.439369201660156
1050000,-46.02589797973633
1060000,-40.68326187133789
1070000,-45.2674560546875
1080000,-42.09248733520508
1090000,-42.16269302368164
1100000,-44.80496597290039
1110000,-38.789249420166016
1120000,-42.15945053100586
1130000,-43.702823638916016
1140000,-42.64958190917969
1150000,-46.31346130371094
1160000,-45.39574432373047
1170000,-45.9827995300293
1180000,-47.8045539855957
1190000,-44.06317901611328
1200000,-43.470794677734375
1210000,-46.994972229003906
1220000,-48.655086517333984
1230000,-45.88285446166992
1240000,-48.87428665161133
1250000,-45.55094909667969
1260000,-45.29795837402344
1270000,-54.99431228637695
1280000,-48.7175407409668
1290000,-49.33161544799805
1300000,-54.557735443115234
1310000,-55.12641906738281
1320000,-52.333065032958984
1330000,-51.69955062866211
1340000,-44.09463882446289
1350000,-48.70832061767578
1360000,-47.658538818359375
1370000,-48.4196662902832
1380000,-49.2293701171875
1390000,-43.00794982910156
1400000,-46.78860855102539
1410000,-45.822898864746094
1420000,-45.0051383972168
1430000,-46.610260009765625
1440000,-47.09355545043945
1450000,-47.08427810668945
1460000,-48.06851577758789
1470000,-45.47344207763672
1480000,-50.20407485961914
1490000,-51.66297149658203
1500000,-49.48593521118164
1510000,-49.74434280395508
1520000,-50.91460037231445
1530000,-51.24987030029297
1540000,-48.057044982910156
1550000,-49.42985534667969
1560000,-51.902435302734375
1570000,-52.06404113769531
1580000,-45.6015625
1590000,-48.22016143798828
1600000,-51.630043029785156
1610000,-50.077606201171875
1620000,-49.65163040161133
1630000,-51.530487060546875
1640000,-48.17256164550781
1650000,-48.579689025878906
1660000,-48.64622497558594
1670000,-51.31282043457031
1680000,-46.44530487060547
1690000,-44.395362854003906
1700000,-46.55424499511719
1710000,-52.73762130737305
1720000,-45.964168548583984
1730000,-45.34364700317383
1740000,-44.553741455078125
1750000,-49.45708465576172
1760000,-47.628177642822266
1770000,-47.05018997192383
1780000,-49.29115295410156
1790000,-46.232765197753906
1800000,-46.01408386230469
1810000,-48.52322006225586
1820000,-47.329708099365234
1830000,-44.99848175048828
1840000,-45.27012252807617
1850000,-47.09162521362305
1860000,-47.45893096923828
1870000,-47.935604095458984
1880000,-43.89751434326172
1890000,-46.159976959228516
1900000,-44.19755172729492
1910000,-46.77125930786133
1920000,-46.45677185058594
1930000,-48.042938232421875
1940000,-45.2207145690918
1950000,-44.85389709472656
1960000,-47.12522506713867
1970000,-45.50913619995117
1980000,-45.13573455810547
1990000,-46.347476959228516
2000000,-46.11770248413086
