Step,Episode Rewards
10000,-188.6644744873047
20000,-210.7649383544922
30000,-99.14845275878906
40000,-52.01778030395508
50000,-56.99835968017578
60000,-76.7015380859375
70000,-59.335548400878906
80000,-41.20631408691406
90000,-32.7502326965332
100000,-25.288158416748047
110000,-22.65081024169922
120000,-20.54380989074707
130000,-19.246231079101562
140000,-18.853282928466797
150000,-18.93063735961914
160000,-19.483783721923828
170000,-18.985248565673828
180000,-17.983078002929688
190000,-19.12081527709961
200000,-18.699243545532227
210000,-18.645410537719727
220000,-18.998010635375977
230000,-18.433115005493164
240000,-17.903072357177734
250000,-18.66546058654785
260000,-17.876068115234375
270000,-17.724422454833984
280000,-16.578250885009766
290000,-17.30506134033203
300000,-18.65859603881836
310000,-18.473861694335938
320000,-18.333528518676758
330000,-19.38178825378418
340000,-18.280025482177734
350000,-17.990211486816406
360000,-17.180585861206055
370000,-18.899930953979492
380000,-17.674238204956055
390000,-18.671951293945312
400000,-17.55695343017578
410000,-18.150407791137695
420000,-17.995441436767578
430000,-15.558307647705078
440000,-18.860925674438477
450000,-17.392187118530273
460000,-17.065797805786133
470000,-18.7225399017334
480000,-17.19232177734375
490000,-16.81613540649414
500000,-17.5490779876709
510000,-19.250757217407227
520000,-17.377241134643555
530000,-18.424936294555664
540000,-17.69466209411621
550000,-17.456953048706055
560000,-17.300914764404297
570000,-18.36060333251953
580000,-17.972007751464844
590000,-18.146608352661133
600000,-17.242095947265625
610000,-18.813207626342773
620000,-18.277122497558594
630000,-17.726778030395508
640000,-16.85234832763672
650000,-17.610254287719727
660000,-17.390249252319336
670000,-18.141841888427734
680000,-17.72206687927246
690000,-18.496376037597656
700000,-19.665508270263672
710000,-18.792192459106445
720000,-18.272014617919922
730000,-17.97245216369629
740000,-17.84480094909668
750000,-18.21390151977539
760000,-18.154903411865234
770000,-17.838144302368164
780000,-18.630451202392578
790000,-18.877790451049805
800000,-17.569198608398438
