Step,Episode Rewards
10000,-97.90711212158203
20000,-91.48551940917969
30000,-134.56631469726562
40000,-151.89601135253906
50000,-152.75062561035156
60000,-121.94342041015625
70000,-77.38565063476562
80000,-62.45149230957031
90000,-50.74196243286133
100000,-54.79572296142578
110000,-62.561824798583984
120000,-52.0365104675293
130000,-50.19734573364258
140000,-48.82067108154297
150000,-50.64462661743164
160000,-44.590206146240234
170000,-43.36345291137695
180000,-45.64654541015625
190000,-38.969573974609375
200000,-39.82595443725586
210000,-38.37284469604492
220000,-39.74989700317383
230000,-39.97957229614258
240000,-38.56113815307617
250000,-40.58658981323242
260000,-39.69160461425781
270000,-38.445194244384766
280000,-39.24583435058594
290000,-39.982421875
300000,-36.49246597290039
310000,-36.64651107788086
320000,-38.418907165527344
330000,-37.05077362060547
340000,-35.83913803100586
350000,-35.01944351196289
360000,-36.993995666503906
370000,-37.667301177978516
380000,-36.617698669433594
390000,-37.88397216796875
400000,-37.500885009765625
410000,-38.253963470458984
420000,-36.72452926635742
430000,-37.36067199707031
440000,-37.247135162353516
450000,-38.114017486572266
460000,-39.118934631347656
470000,-38.70165252685547
480000,-42.66972732543945
490000,-38.81782531738281
500000,-40.16424560546875
510000,-40.3275260925293
520000,-36.360877990722656
530000,-37.21146011352539
540000,-34.86447525024414
550000,-38.0667724609375
560000,-37.484619140625
570000,-38.8912353515625
580000,-38.01024627685547
590000,-39.22965621948242
600000,-38.269691467285156
610000,-36.00828552246094
620000,-41.144927978515625
630000,-36.85578155517578
640000,-35.967430114746094
650000,-37.450096130371094
660000,-38.153873443603516
670000,-38.16516876220703
680000,-39.109352111816406
690000,-37.03611755371094
700000,-36.97368621826172
710000,-38.327388763427734
720000,-36.15664291381836
730000,-34.96573257446289
740000,-35.41761779785156
750000,-37.36724090576172
760000,-37.78898620605469
770000,-37.17384719848633
780000,-40.297061920166016
790000,-36.362789154052734
800000,-37.75773239135742
