Step,Episode Rewards
10000,-183.74960327148438
20000,-197.703125
30000,-200.0521697998047
40000,-168.1483154296875
50000,-170.3029022216797
60000,-137.89077758789062
70000,-110.39556121826172
80000,-82.24763488769531
90000,-75.98085021972656
100000,-74.49983215332031
110000,-66.4205551147461
120000,-53.846099853515625
130000,-55.41792297363281
140000,-47.752899169921875
150000,-45.101741790771484
160000,-45.036705017089844
170000,-48.125831604003906
180000,-45.37845993041992
190000,-43.670597076416016
200000,-44.84870529174805
210000,-42.07305908203125
220000,-43.53508758544922
230000,-45.676273345947266
240000,-44.96034240722656
250000,-45.04941940307617
260000,-50.973297119140625
270000,-48.04953384399414
280000,-41.233665466308594
290000,-38.488861083984375
300000,-43.62998580932617
310000,-40.92300033569336
320000,-44.9627571105957
330000,-39.11323165893555
340000,-40.60221481323242
350000,-39.89320755004883
360000,-35.14815139770508
370000,-38.0168571472168
380000,-36.43268585205078
390000,-36.60457229614258
400000,-32.80818176269531
410000,-34.98641586303711
420000,-39.439117431640625
430000,-33.63801574707031
440000,-36.38872528076172
450000,-37.45380783081055
460000,-40.055747985839844
470000,-36.58357238769531
480000,-36.056217193603516
490000,-34.81452178955078
500000,-34.21833419799805
510000,-37.176490783691406
520000,-37.92431640625
530000,-34.447967529296875
540000,-35.53997802734375
550000,-34.3470344543457
560000,-33.76730728149414
570000,-35.192073822021484
580000,-33.67303466796875
590000,-34.0732536315918
600000,-34.68513488769531
610000,-33.64398193359375
620000,-34.89202880859375
630000,-32.46464538574219
640000,-34.78404998779297
650000,-32.26638412475586
660000,-35.154361724853516
670000,-34.23917007446289
680000,-35.03874588012695
690000,-35.377044677734375
700000,-36.05683135986328
710000,-34.572349548339844
720000,-34.692054748535156
730000,-35.03139877319336
740000,-32.482887268066406
750000,-35.5168571472168
760000,-33.61337661743164
770000,-35.09433364868164
780000,-34.02793502807617
790000,-34.245697021484375
800000,-35.115272521972656
