Step,Episode Rewards
10000,-210.95889282226562
20000,-162.44520568847656
30000,-146.58799743652344
40000,-139.27328491210938
50000,-96.7759780883789
60000,-84.5971450805664
70000,-90.05073547363281
80000,-87.18014526367188
90000,-96.52542877197266
100000,-93.31953430175781
110000,-89.56043243408203
120000,-79.26578521728516
130000,-103.63359069824219
140000,-102.73680114746094
150000,-101.77413940429688
160000,-77.86529541015625
170000,-58.9083366394043
180000,-55.95856475830078
190000,-61.00865936279297
200000,-69.39852905273438
210000,-64.82594299316406
220000,-50.34004592895508
230000,-54.47925567626953
240000,-48.139564514160156
250000,-51.08660888671875
260000,-47.782508850097656
270000,-45.56308364868164
280000,-45.50746154785156
290000,-41.560401916503906
300000,-41.496028900146484
310000,-43.902870178222656
320000,-49.40177917480469
330000,-44.79075241088867
340000,-42.70309829711914
350000,-46.6015739440918
360000,-41.78091049194336
370000,-46.79629898071289
380000,-47.75031280517578
390000,-48.41630172729492
400000,-42.07139587402344
410000,-41.793704986572266
420000,-51.077842712402344
430000,-49.81965637207031
440000,-45.34505844116211
450000,-46.88837432861328
460000,-45.625709533691406
470000,-43.77738952636719
480000,-40.933135986328125
490000,-39.76350784301758
500000,-41.89361572265625
510000,-46.62154006958008
520000,-42.842918395996094
530000,-39.589412689208984
540000,-41.916114807128906
550000,-41.71129608154297
560000,-41.05241012573242
570000,-43.764869689941406
580000,-42.15654754638672
590000,-40.86688232421875
600000,-41.787235260009766
610000,-41.42951965332031
620000,-35.16341781616211
630000,-36.03629684448242
640000,-38.009666442871094
650000,-36.22233581542969
660000,-40.73944854736328
670000,-37.528297424316406
680000,-41.729087829589844
690000,-37.741554260253906
700000,-39.950355529785156
710000,-37.571956634521484
720000,-36.0087776184082
730000,-38.449981689453125
740000,-36.434871673583984
750000,-38.0136833190918
760000,-36.82710647583008
770000,-38.659950256347656
780000,-39.01436233520508
790000,-38.229923248291016
800000,-35.949859619140625
