Step,Episode Rewards
10000,-221.6701202392578
20000,-226.88609313964844
30000,-218.93504333496094
40000,-205.49905395507812
50000,-204.4239044189453
60000,-207.99822998046875
70000,-197.21202087402344
80000,-206.080810546875
90000,-206.11349487304688
100000,-208.5962677001953
110000,-196.90869140625
120000,-178.91537475585938
130000,-150.3371124267578
140000,-164.73106384277344
150000,-158.72618103027344
160000,-142.07908630371094
170000,-132.14903259277344
180000,-149.9000701904297
190000,-138.8187713623047
200000,-109.3327407836914
210000,-75.39286041259766
220000,-97.11046600341797
230000,-88.20783233642578
240000,-81.48625183105469
250000,-89.34769439697266
260000,-93.944580078125
270000,-80.11305236816406
280000,-81.46344757080078
290000,-87.13739776611328
300000,-74.0893783569336
310000,-78.93207550048828
320000,-87.93563842773438
330000,-92.88758850097656
340000,-79.36228942871094
350000,-92.60025787353516
360000,-97.29637908935547
370000,-82.47346496582031
380000,-96.14533996582031
390000,-90.64120483398438
400000,-97.12805938720703
410000,-86.05497741699219
420000,-78.18437194824219
430000,-93.83409881591797
440000,-88.67449188232422
450000,-86.85868072509766
460000,-81.32047271728516
470000,-101.32585144042969
480000,-79.90258026123047
490000,-76.84337615966797
500000,-71.5887680053711
510000,-73.4819564819336
520000,-64.02838897705078
530000,-68.90474700927734
540000,-70.36214447021484
550000,-74.82949829101562
560000,-63.11250686645508
570000,-78.83636474609375
580000,-73.58448028564453
590000,-71.8573989868164
600000,-67.0870361328125
610000,-62.936519622802734
620000,-75.39472198486328
630000,-60.89544677734375
640000,-64.19163513183594
650000,-60.68224334716797
660000,-65.0268783569336
670000,-62.250762939453125
680000,-64.38607025146484
690000,-58.392635345458984
700000,-62.233272552490234
710000,-55.564369201660156
720000,-54.3951416015625
730000,-52.76637649536133
740000,-55.491539001464844
750000,-57.75624084472656
760000,-58.708946228027344
770000,-58.1114387512207
780000,-67.08325958251953
790000,-51.95035171508789
800000,-55.69591522216797
