Step,Episode Rewards
10000,-167.10540771484375
20000,-170.0021514892578
30000,-167.37364196777344
40000,-165.69989013671875
50000,-184.6110076904297
60000,-167.75656127929688
70000,-156.10482788085938
80000,-162.71238708496094
90000,-154.8757781982422
100000,-160.38929748535156
110000,-164.26016235351562
120000,-160.96481323242188
130000,-167.90383911132812
140000,-172.63299560546875
150000,-169.1263427734375
160000,-158.02224731445312
170000,-152.5828399658203
180000,-130.46633911132812
190000,-134.2637481689453
200000,-144.92144775390625
210000,-155.87965393066406
220000,-153.01895141601562
230000,-147.52500915527344
240000,-147.5293731689453
250000,-129.72830200195312
260000,-114.71929168701172
270000,-112.89684295654297
280000,-116.7620849609375
290000,-114.1098403930664
300000,-110.65573120117188
310000,-107.84642028808594
320000,-104.44837951660156
330000,-101.37908935546875
340000,-97.84310150146484
350000,-83.97775268554688
360000,-82.9803466796875
370000,-83.61249542236328
380000,-84.3702392578125
390000,-78.3915023803711
400000,-74.8119125366211
410000,-74.60407257080078
420000,-72.85404205322266
430000,-68.95052337646484
440000,-78.66535186767578
450000,-71.3722915649414
460000,-79.50309753417969
470000,-69.66571807861328
480000,-77.84293365478516
490000,-77.25656127929688
500000,-77.72896575927734
510000,-71.89785766601562
520000,-79.82923126220703
530000,-64.14093017578125
540000,-77.5887680053711
550000,-75.46244812011719
560000,-60.749603271484375
570000,-66.55382537841797
580000,-66.42288208007812
590000,-69.61724853515625
600000,-63.86093521118164
610000,-61.92060470581055
620000,-66.86711883544922
630000,-60.03712463378906
640000,-65.21963500976562
650000,-53.356441497802734
660000,-66.10543060302734
670000,-64.45140075683594
680000,-58.33256149291992
690000,-61.84007263183594
700000,-54.784149169921875
710000,-54.904293060302734
720000,-51.521968841552734
730000,-54.05120086669922
740000,-53.165069580078125
750000,-52.58807373046875
760000,-51.78268814086914
770000,-57.64198303222656
780000,-59.1484260559082
790000,-58.091835021972656
800000,-58.35901641845703
810000,-57.68825149536133
820000,-53.84281921386719
830000,-54.43792724609375
840000,-47.41608428955078
850000,-56.5161247253418
860000,-47.85932922363281
870000,-54.72520446777344
880000,-51.67290115356445
890000,-61.42822265625
900000,-55.78384780883789
910000,-55.3476676940918
920000,-55.237613677978516
930000,-55.03037643432617
940000,-54.744850158691406
950000,-53.24212646484375
960000,-46.168426513671875
970000,-49.844722747802734
980000,-43.44972229003906
990000,-47.242149353027344
1000000,-44.31704330444336
1010000,-38.730167388916016
1020000,-40.13871765136719
1030000,-39.43962097167969
1040000,-42.25019073486328
1050000,-40.385292053222656
1060000,-37.223777770996094
1070000,-42.4183464050293
1080000,-38.13869094848633
1090000,-42.22716522216797
1100000,-40.9128303527832
1110000,-39.27733612060547
1120000,-40.61359405517578
1130000,-41.432762145996094
1140000,-42.61848449707031
1150000,-44.30824279785156
1160000,-40.984291076660156
1170000,-41.259185791015625
1180000,-39.06760787963867
1190000,-39.55214309692383
1200000,-39.40958023071289
1210000,-43.437686920166016
1220000,-43.71533203125
1230000,-37.90650177001953
1240000,-46.00362777709961
1250000,-41.907806396484375
1260000,-40.63434982299805
1270000,-45.182838439941406
1280000,-38.1355094909668
1290000,-38.85535430908203
1300000,-45.18714141845703
1310000,-44.612579345703125
1320000,-44.49972152709961
1330000,-46.38615798950195
1340000,-43.04720687866211
1350000,-46.953453063964844
1360000,-48.60409927368164
1370000,-47.78384780883789
1380000,-48.98982620239258
1390000,-45.22136306762695
1400000,-45.773895263671875
1410000,-44.53716278076172
1420000,-42.1719970703125
1430000,-41.820377349853516
1440000,-39.58821105957031
1450000,-42.86777114868164
1460000,-37.4166374206543
1470000,-37.457191467285156
1480000,-42.28929138183594
1490000,-41.98221969604492
1500000,-45.69680404663086
1510000,-40.5769157409668
1520000,-42.31794738769531
1530000,-38.8332633972168
1540000,-37.341556549072266
1550000,-36.84143829345703
1560000,-38.41766357421875
1570000,-40.25617218017578
1580000,-36.2601318359375
1590000,-38.2976188659668
1600000,-39.65496063232422
1610000,-35.730289459228516
1620000,-37.11567687988281
1630000,-39.462955474853516
1640000,-40.034568786621094
1650000,-40.67795181274414
1660000,-40.118160247802734
1670000,-39.49822235107422
1680000,-35.40187454223633
1690000,-35.500423431396484
1700000,-36.608951568603516
1710000,-40.87659454345703
1720000,-36.34198760986328
1730000,-37.58382797241211
1740000,-37.20948028564453
1750000,-37.9953727722168
1760000,-37.32356262207031
1770000,-35.94232177734375
1780000,-37.60540008544922
1790000,-37.30839920043945
1800000,-37.939361572265625
1810000,-37.329612731933594
1820000,-38.867523193359375
1830000,-35.538570404052734
1840000,-36.6732063293457
1850000,-37.92359924316406
1860000,-38.76755905151367
1870000,-36.988826751708984
1880000,-34.305362701416016
1890000,-37.129974365234375
1900000,-37.26251983642578
1910000,-35.2668571472168
1920000,-37.18412399291992
1930000,-38.14542770385742
1940000,-36.45500564575195
1950000,-36.61184310913086
1960000,-36.763545989990234
1970000,-35.197303771972656
1980000,-34.958648681640625
1990000,-37.79348373413086
2000000,-36.99184799194336
