Step,Episode Rewards
10000,-139.7574462890625
20000,-146.88082885742188
30000,-162.62179565429688
40000,-162.8050537109375
50000,-176.78994750976562
60000,-157.35450744628906
70000,-145.88796997070312
80000,-144.5866241455078
90000,-126.15116882324219
100000,-111.71281433105469
110000,-97.7287826538086
120000,-86.22589874267578
130000,-82.7647933959961
140000,-82.01663208007812
150000,-81.61567687988281
160000,-64.61300659179688
170000,-64.25943756103516
180000,-64.04179382324219
190000,-61.69742965698242
200000,-59.37725067138672
210000,-57.42584991455078
220000,-54.913875579833984
230000,-53.286563873291016
240000,-53.38603210449219
250000,-51.688751220703125
260000,-50.60850524902344
270000,-51.79584884643555
280000,-53.252140045166016
290000,-52.72130584716797
300000,-51.43390655517578
310000,-54.726436614990234
320000,-58.07189178466797
330000,-53.69932556152344
340000,-47.67289352416992
350000,-49.6255989074707
360000,-49.94489669799805
370000,-47.99644470214844
380000,-53.277671813964844
390000,-52.5078239440918
400000,-49.893192291259766
410000,-46.823448181152344
420000,-44.017818450927734
430000,-42.40107345581055
440000,-44.24026870727539
450000,-42.70124435424805
460000,-43.77814865112305
470000,-39.89131546020508
480000,-43.53452682495117
490000,-41.59730529785156
500000,-37.19013977050781
510000,-39.938350677490234
520000,-40.501243591308594
530000,-38.065223693847656
540000,-38.36226272583008
550000,-39.52560043334961
560000,-39.2091064453125
570000,-37.982086181640625
580000,-40.031063079833984
590000,-38.294227600097656
600000,-37.93836212158203
610000,-38.307987213134766
620000,-39.693626403808594
630000,-38.48274612426758
640000,-38.55607604980469
650000,-33.518211364746094
660000,-36.84733963012695
670000,-35.45259475708008
680000,-37.770782470703125
690000,-37.75090026855469
700000,-37.47956085205078
710000,-37.72426223754883
720000,-36.209774017333984
730000,-36.49235153198242
740000,-37.08467483520508
750000,-36.72665786743164
760000,-36.948768615722656
770000,-35.021339416503906
780000,-38.917320251464844
790000,-37.6770133972168
800000,-35.48674392700195
810000,-37.750343322753906
820000,-34.717376708984375
830000,-37.033164978027344
840000,-34.98463439941406
850000,-37.30487823486328
860000,-39.38814926147461
870000,-38.54887390136719
880000,-35.87903594970703
890000,-38.100502014160156
900000,-35.778114318847656
910000,-35.34157943725586
920000,-35.813480377197266
930000,-35.233741760253906
940000,-36.28587341308594
950000,-35.7718391418457
960000,-38.01093673706055
970000,-35.22600173950195
980000,-35.328155517578125
990000,-36.0855598449707
1000000,-37.33784866333008
1010000,-34.86964797973633
1020000,-36.62223434448242
1030000,-36.4090576171875
1040000,-37.43818283081055
1050000,-38.14272689819336
1060000,-38.05949401855469
1070000,-35.33147048950195
1080000,-34.3166618347168
1090000,-35.7779426574707
1100000,-36.63775634765625
1110000,-34.379573822021484
1120000,-36.27131652832031
1130000,-35.14863967895508
1140000,-35.449790954589844
1150000,-36.85572052001953
1160000,-35.40746307373047
1170000,-36.197059631347656
1180000,-37.407737731933594
1190000,-34.27518844604492
1200000,-34.910037994384766
1210000,-38.851715087890625
1220000,-37.06533432006836
1230000,-35.251075744628906
1240000,-38.33731460571289
1250000,-35.47947692871094
1260000,-34.59474563598633
1270000,-40.64546585083008
1280000,-36.211368560791016
1290000,-33.9593505859375
1300000,-37.56816482543945
1310000,-36.64002227783203
1320000,-37.7029914855957
1330000,-35.8302001953125
1340000,-34.87340545654297
1350000,-36.158203125
1360000,-38.08017349243164
1370000,-36.365928649902344
1380000,-37.72468185424805
1390000,-38.53887176513672
1400000,-38.33229446411133
1410000,-36.09474563598633
1420000,-37.028133392333984
1430000,-37.31052017211914
1440000,-36.76303482055664
1450000,-36.11436462402344
1460000,-35.789581298828125
1470000,-35.19004440307617
1480000,-38.539859771728516
1490000,-38.87654495239258
1500000,-36.74359893798828
1510000,-37.6339225769043
1520000,-37.43415451049805
1530000,-36.006019592285156
1540000,-33.973243713378906
1550000,-35.59860610961914
1560000,-37.16427993774414
1570000,-37.82148361206055
1580000,-37.46775817871094
1590000,-36.57796096801758
1600000,-38.078155517578125
1610000,-34.517478942871094
1620000,-37.48478317260742
1630000,-37.06705856323242
1640000,-37.70292663574219
1650000,-39.07876968383789
1660000,-38.08742141723633
1670000,-37.24118423461914
1680000,-35.73500442504883
1690000,-35.569969177246094
1700000,-37.929847717285156
1710000,-38.745201110839844
1720000,-38.841224670410156
1730000,-36.31320571899414
1740000,-37.307552337646484
1750000,-38.00017166137695
1760000,-37.14235305786133
1770000,-35.356292724609375
1780000,-35.000911712646484
1790000,-33.90270233154297
1800000,-36.10591125488281
1810000,-36.835052490234375
1820000,-36.776611328125
1830000,-36.42546844482422
1840000,-37.1059455871582
1850000,-36.30433654785156
1860000,-37.529014587402344
1870000,-35.731693267822266
1880000,-35.227943420410156
1890000,-37.16032791137695
1900000,-37.62261962890625
1910000,-34.96419143676758
1920000,-38.32352066040039
1930000,-36.01865005493164
1940000,-37.67205047607422
1950000,-37.65938186645508
1960000,-35.722408294677734
1970000,-37.062904357910156
1980000,-37.542781829833984
1990000,-36.32423400878906
2000000,-37.09660720825195
