Step,Episode Rewards
10000,-170.55599975585938
20000,-169.3560028076172
30000,-172.53981018066406
40000,-176.99594116210938
50000,-171.54331970214844
60000,-168.77774047851562
70000,-171.3509979248047
80000,-172.65045166015625
90000,-164.79013061523438
100000,-169.3208465576172
110000,-168.97225952148438
120000,-167.27041625976562
130000,-173.26087951660156
140000,-177.2049102783203
150000,-171.2043914794922
160000,-169.84922790527344
170000,-172.7254180908203
180000,-168.5184783935547
190000,-170.7544403076172
200000,-165.4410400390625
210000,-174.44549560546875
220000,-173.3052520751953
230000,-169.29563903808594
240000,-168.95440673828125
250000,-167.8811798095703
260000,-170.04908752441406
270000,-180.2509765625
280000,-175.2079315185547
290000,-164.13018798828125
300000,-164.96319580078125
310000,-174.24710083007812
320000,-171.39430236816406
330000,-177.89181518554688
340000,-174.8437042236328
350000,-177.92942810058594
360000,-167.5247039794922
370000,-173.1747589111328
380000,-161.9932403564453
390000,-171.74696350097656
400000,-172.13156127929688
410000,-172.7056427001953
420000,-171.16665649414062
430000,-171.4105987548828
440000,-174.4073944091797
450000,-169.64736938476562
460000,-176.1028594970703
470000,-169.99131774902344
480000,-172.32579040527344
490000,-181.2550506591797
500000,-176.80850219726562
510000,-174.55877685546875
520000,-168.5921173095703
530000,-177.05345153808594
540000,-168.9331817626953
550000,-167.9315948486328
560000,-167.73989868164062
570000,-170.84423828125
580000,-173.31292724609375
590000,-179.93496704101562
600000,-172.48094177246094
610000,-175.5028839111328
620000,-167.77008056640625
630000,-173.5013427734375
640000,-176.69630432128906
650000,-183.51356506347656
660000,-177.92066955566406
670000,-175.2233123779297
680000,-169.45289611816406
690000,-169.97361755371094
700000,-166.3888397216797
710000,-177.18348693847656
720000,-174.42628479003906
730000,-171.13973999023438
740000,-177.42530822753906
750000,-171.3123321533203
760000,-173.83493041992188
770000,-164.1956024169922
780000,-169.08749389648438
790000,-178.9752197265625
800000,-174.5657501220703
810000,-175.272216796875
820000,-163.8123779296875
830000,-175.9957733154297
840000,-168.0660858154297
850000,-173.56069946289062
860000,-177.04759216308594
870000,-168.9947967529297
880000,-161.1353302001953
890000,-162.0347137451172
900000,-167.51649475097656
910000,-169.76869201660156
920000,-168.31478881835938
930000,-167.24929809570312
940000,-167.4985809326172
950000,-164.2412567138672
960000,-169.09188842773438
970000,-163.88243103027344
980000,-175.28836059570312
990000,-171.90354919433594
1000000,-161.66131591796875
1010000,-163.28579711914062
1020000,-164.69125366210938
1030000,-165.6990966796875
1040000,-163.04653930664062
1050000,-177.06350708007812
1060000,-175.6895751953125
1070000,-167.98199462890625
1080000,-173.2078857421875
1090000,-171.83352661132812
1100000,-175.41688537597656
1110000,-176.989990234375
1120000,-172.11717224121094
1130000,-169.14675903320312
1140000,-175.28555297851562
1150000,-171.56124877929688
1160000,-178.83740234375
1170000,-176.54226684570312
1180000,-168.6597442626953
1190000,-169.96128845214844
1200000,-169.7215576171875
1210000,-181.4032745361328
1220000,-174.42245483398438
1230000,-169.00608825683594
1240000,-170.2996368408203
1250000,-164.5890655517578
1260000,-166.22842407226562
1270000,-171.4136505126953
1280000,-171.3850555419922
1290000,-161.72067260742188
1300000,-154.17088317871094
1310000,-168.20843505859375
1320000,-174.97183227539062
1330000,-168.448974609375
1340000,-173.64320373535156
1350000,-170.59971618652344
1360000,-177.75645446777344
1370000,-178.0637664794922
1380000,-169.524169921875
1390000,-167.70494079589844
1400000,-171.8515167236328
1410000,-167.6742706298828
1420000,-177.05760192871094
1430000,-169.1737060546875
1440000,-169.95703125
1450000,-169.59312438964844
1460000,-170.1076202392578
1470000,-169.11973571777344
1480000,-166.7578582763672
1490000,-173.9766082763672
1500000,-170.2491455078125
1510000,-176.44581604003906
1520000,-175.32318115234375
1530000,-172.1770782470703
1540000,-184.9005584716797
1550000,-176.27503967285156
1560000,-174.72463989257812
1570000,-172.1266326904297
1580000,-168.87704467773438
1590000,-171.93495178222656
1600000,-164.7529754638672
1610000,-176.00808715820312
1620000,-172.6030731201172
1630000,-178.42034912109375
1640000,-163.40744018554688
1650000,-174.39251708984375
1660000,-177.8353729248047
1670000,-175.30348205566406
1680000,-176.79405212402344
1690000,-175.11558532714844
1700000,-170.4978485107422
1710000,-163.70899963378906
1720000,-174.17819213867188
1730000,-179.1805877685547
1740000,-171.55584716796875
1750000,-167.0010528564453
1760000,-169.1024627685547
1770000,-174.7953338623047
1780000,-172.00518798828125
1790000,-164.565673828125
1800000,-171.61090087890625
1810000,-176.3512420654297
1820000,-173.3892364501953
1830000,-169.97206115722656
1840000,-169.45272827148438
1850000,-172.97885131835938
1860000,-171.6866455078125
1870000,-168.20632934570312
1880000,-171.29051208496094
1890000,-165.7003631591797
1900000,-165.93368530273438
1910000,-167.59671020507812
1920000,-173.67503356933594
1930000,-156.1240997314453
1940000,-171.0342559814453
1950000,-169.99717712402344
1960000,-170.0621795654297
1970000,-170.82591247558594
1980000,-164.30931091308594
1990000,-167.36399841308594
2000000,-165.86441040039062
