episode: 0, reward: -57.0202
episode: 1, reward: -52.5366
episode: 2, reward: -53.8099
episode: 3, reward: -60.4892
episode: 4, reward: -61.6742
episode: 5, reward: -68.9983
episode: 6, reward: -57.8378
episode: 7, reward: -69.2973
episode: 8, reward: -57.9055
episode: 9, reward: -61.5239
episode: 10, reward: -55.8573
episode: 11, reward: -60.5241
episode: 12, reward: -56.7627
episode: 13, reward: -53.4569
episode: 14, reward: -57.3439
episode: 15, reward: -61.5895
episode: 16, reward: -61.9438
episode: 17, reward: -65.7997
episode: 18, reward: -58.4556
episode: 19, reward: -57.5835
episode: 20, reward: -61.8732
episode: 21, reward: -69.3179
episode: 22, reward: -62.0118
episode: 23, reward: -64.9416
episode: 24, reward: -56.1311
episode: 25, reward: -65.4346
episode: 26, reward: -65.8572
episode: 27, reward: -63.3190
episode: 28, reward: -64.4643
episode: 29, reward: -63.3627
episode: 30, reward: -71.1346
episode: 31, reward: -66.6525
episode: 32, reward: -54.5815
episode: 33, reward: -70.4301
episode: 34, reward: -54.1668
episode: 35, reward: -61.8691
episode: 36, reward: -64.5335
episode: 37, reward: -74.7554
episode: 38, reward: -65.5243
episode: 39, reward: -57.2839
episode: 40, reward: -61.3980
episode: 41, reward: -62.3156
episode: 42, reward: -59.1472
episode: 43, reward: -61.4332
episode: 44, reward: -59.4668
episode: 45, reward: -76.2081
episode: 46, reward: -66.7011
episode: 47, reward: -59.8252
episode: 48, reward: -68.1423
episode: 49, reward: -58.3977
episode: 50, reward: -56.4137
episode: 51, reward: -59.1267
episode: 52, reward: -73.5672
episode: 53, reward: -68.1562
episode: 54, reward: -65.4259
episode: 55, reward: -54.6728
episode: 56, reward: -69.6750
episode: 57, reward: -61.6657
episode: 58, reward: -63.9229
episode: 59, reward: -58.4239
episode: 60, reward: -74.0752
episode: 61, reward: -57.6347
episode: 62, reward: -60.8063
episode: 63, reward: -59.8777
episode: 64, reward: -66.8229
episode: 65, reward: -63.0404
episode: 66, reward: -65.1298
episode: 67, reward: -63.7469
episode: 68, reward: -64.4243
episode: 69, reward: -72.0123
episode: 70, reward: -61.6025
episode: 71, reward: -56.0428
episode: 72, reward: -57.0800
episode: 73, reward: -66.1209
episode: 74, reward: -75.4206
episode: 75, reward: -67.4133
episode: 76, reward: -63.6720
episode: 77, reward: -71.7972
episode: 78, reward: -52.1578
episode: 79, reward: -68.6638
episode: 80, reward: -65.5571
episode: 81, reward: -57.3521
episode: 82, reward: -71.2954
episode: 83, reward: -68.8142
episode: 84, reward: -60.9074
episode: 85, reward: -60.6981
episode: 86, reward: -57.7451
episode: 87, reward: -69.0404
episode: 88, reward: -63.3192
episode: 89, reward: -66.9290
episode: 90, reward: -59.9421
episode: 91, reward: -64.9534
episode: 92, reward: -68.2496
episode: 93, reward: -61.2556
episode: 94, reward: -63.8922
episode: 95, reward: -64.5817
episode: 96, reward: -66.2576
episode: 97, reward: -78.5742
episode: 98, reward: -55.5599
episode: 99, reward: -68.1153
